idx,selected,topology_id,topology_name,family,seed,n_nodes,n_edges,p,edge_json,d_rel,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,comparison_branch_common_d_rel_max,comparison_branch_common_d_rel_gini,comparison_branch_d_rel_min,comparison_branch_d_rel_mean,comparison_branch_d_rel_max,comparison_branch_d_rel_gini,rank_D,effective_rank_D,condition_number_D,condition_number_D_log,root_tree_count_gini,edge_participation_gini,bottleneck_edge_fraction_095,mean_shortest_path,in_degree_cv,out_degree_cv,n_trees_total_enum,n_trees_total_enum_log
0,0,g0000_cycle_chords_seed1,cycle_chords,cycle_chords,1,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0000_cycle_chords_seed1.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.130851920890752,2.0000000000000013,0.3010299956639815,0.0,0.2222222222222221,0.0,1.5,0.3333333333333333,0.3333333333333333,8,0.9030899869919435
1,1,g0001_cycle_chords_seed2,cycle_chords,cycle_chords,2,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0001_cycle_chords_seed2.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.066313206152702,3.2219603204247034,0.5081201876267412,0.19444444444444442,0.154320987654321,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,9,0.9542425094393249
2,1,g0002_cycle_chords_seed3,cycle_chords,cycle_chords,3,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0002_cycle_chords_seed3.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.852268343954263,3.292720864447211,0.5175549155984684,0.1875,0.18055555555555558,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,8,0.9030899869919435
3,0,g0003_cycle_chords_seed4,cycle_chords,cycle_chords,4,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0003_cycle_chords_seed4.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.066313206152702,3.2219603204247056,0.5081201876267414,0.19444444444444442,0.154320987654321,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,9,0.9542425094393249
4,1,g0004_cycle_chords_seed5,cycle_chords,cycle_chords,5,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0004_cycle_chords_seed5.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.130851920890753,2.0,0.3010299956639812,0.0,0.2222222222222221,0.0,1.5,0.3333333333333333,0.3333333333333333,8,0.9030899869919435
5,1,g0005_cycle_chords_seed6,cycle_chords,cycle_chords,6,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0005_cycle_chords_seed6.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.78797616844766,3.2108269615689333,0.5066169011252937,0.25,0.21428571428571397,0.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,7,0.8450980400142568
6,0,g0006_cycle_chords_seed7,cycle_chords,cycle_chords,7,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0006_cycle_chords_seed7.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.110392666948806,2.588348406657814,0.4130227344792039,0.25,0.2777777777777777,0.0,1.6666666666666667,0.3333333333333333,0.5773502691896257,7,0.8450980400142568
7,0,g0007_cycle_chords_seed8,cycle_chords,cycle_chords,8,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0007_cycle_chords_seed8.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.852268343954262,3.2927208644472095,0.5175549155984683,0.1875,0.18055555555555558,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,8,0.9030899869919435
8,0,g0008_cycle_chords_seed10,cycle_chords,cycle_chords,10,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0008_cycle_chords_seed10.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.7879761684476607,3.210826961568934,0.5066169011252938,0.25,0.21428571428571397,0.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,7,0.8450980400142568
9,0,g0009_cycle_chords_seed11,cycle_chords,cycle_chords,11,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0009_cycle_chords_seed11.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.110392666948807,2.5883484066578144,0.41302273447920396,0.25,0.2777777777777777,0.0,1.6666666666666667,0.3333333333333333,0.5773502691896257,7,0.8450980400142568
10,1,g0010_cycle_chords_seed12,cycle_chords,cycle_chords,12,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0010_cycle_chords_seed12.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.9805203856696436,2.826670827146177,0.4512752367606234,0.3125,0.19444444444444442,0.0,1.6666666666666667,0.5773502691896257,0.3333333333333333,8,0.9030899869919435
11,0,g0011_cycle_chords_seed13,cycle_chords,cycle_chords,13,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0011_cycle_chords_seed13.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.131306600692139,3.0070647981487393,0.4781427866556315,0.25,0.12222222222222201,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,10,1.0
12,1,g0012_cycle_chords_seed14,cycle_chords,cycle_chords,14,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0012_cycle_chords_seed14.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.066313206152702,3.221960320424707,0.5081201876267416,0.19444444444444442,0.154320987654321,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,9,0.9542425094393249
13,1,g0013_cycle_chords_seed15,cycle_chords,cycle_chords,15,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0013_cycle_chords_seed15.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.648021658811948,3.7320508075688767,0.5719475475333593,0.16666666666666674,0.22222222222222232,0.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,6,0.7781512503836436
14,0,g0014_cycle_chords_seed16,cycle_chords,cycle_chords,16,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0014_cycle_chords_seed16.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.852268343954263,3.292720864447208,0.5175549155984682,0.1875,0.18055555555555558,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,8,0.9030899869919435
15,0,g0015_cycle_chords_seed18,cycle_chords,cycle_chords,18,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0015_cycle_chords_seed18.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.852268343954262,3.2927208644472095,0.5175549155984683,0.1875,0.18055555555555558,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,8,0.9030899869919435
16,0,g0016_cycle_chords_seed19,cycle_chords,cycle_chords,19,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0016_cycle_chords_seed19.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.7879761684476607,3.2108269615689347,0.5066169011252939,0.25,0.21428571428571397,0.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,7,0.8450980400142568
17,0,g0017_cycle_chords_seed21,cycle_chords,cycle_chords,21,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0017_cycle_chords_seed21.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.130851920890753,2.000000000000001,0.30102999566398136,0.0,0.2222222222222221,0.0,1.5,0.3333333333333333,0.3333333333333333,8,0.9030899869919435
18,0,g0018_cycle_chords_seed23,cycle_chords,cycle_chords,23,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0018_cycle_chords_seed23.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.8522683439542633,3.292720864447208,0.5175549155984682,0.1875,0.18055555555555558,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,8,0.9030899869919435
19,0,g0019_cycle_chords_seed24,cycle_chords,cycle_chords,24,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0019_cycle_chords_seed24.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.110392666948807,2.5883484066578135,0.4130227344792038,0.25,0.2777777777777777,0.0,1.6666666666666667,0.3333333333333333,0.5773502691896257,7,0.8450980400142568
20,0,g0020_cycle_chords_seed25,cycle_chords,cycle_chords,25,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0020_cycle_chords_seed25.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.110392666948807,2.588348406657814,0.4130227344792039,0.25,0.2777777777777777,0.0,1.6666666666666667,0.3333333333333333,0.5773502691896257,7,0.8450980400142568
21,0,g0021_cycle_chords_seed26,cycle_chords,cycle_chords,26,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0021_cycle_chords_seed26.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.852268343954262,3.2927208644472086,0.5175549155984682,0.1875,0.18055555555555558,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,8,0.9030899869919435
22,0,g0022_cycle_chords_seed27,cycle_chords,cycle_chords,27,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0022_cycle_chords_seed27.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.131306600692139,3.0070647981487397,0.47814278665563154,0.25,0.12222222222222201,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,10,1.0
23,0,g0023_cycle_chords_seed29,cycle_chords,cycle_chords,29,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0023_cycle_chords_seed29.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.852268343954262,3.292720864447208,0.5175549155984682,0.1875,0.18055555555555558,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,8,0.9030899869919435
24,0,g0024_cycle_chords_seed30,cycle_chords,cycle_chords,30,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0024_cycle_chords_seed30.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.7879761684476607,3.2108269615689338,0.5066169011252937,0.25,0.21428571428571397,0.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,7,0.8450980400142568
25,0,g0025_cycle_chords_seed31,cycle_chords,cycle_chords,31,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0025_cycle_chords_seed31.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.110392666948808,2.5883484066578135,0.4130227344792038,0.25,0.2777777777777777,0.0,1.6666666666666667,0.3333333333333333,0.5773502691896257,7,0.8450980400142568
26,0,g0026_cycle_chords_seed33,cycle_chords,cycle_chords,33,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0026_cycle_chords_seed33.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.131306600692139,3.0070647981487384,0.47814278665563137,0.25,0.12222222222222201,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,10,1.0
27,0,g0027_cycle_chords_seed35,cycle_chords,cycle_chords,35,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0027_cycle_chords_seed35.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.130851920890753,2.0000000000000013,0.3010299956639815,0.0,0.2222222222222221,0.0,1.5,0.3333333333333333,0.3333333333333333,8,0.9030899869919435
28,0,g0028_cycle_chords_seed39,cycle_chords,cycle_chords,39,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0028_cycle_chords_seed39.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.9805203856696445,2.826670827146177,0.4512752367606234,0.3125,0.19444444444444442,0.0,1.6666666666666667,0.5773502691896257,0.3333333333333333,8,0.9030899869919435
29,0,g0029_cycle_chords_seed47,cycle_chords,cycle_chords,47,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0029_cycle_chords_seed47.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.066313206152702,3.221960320424706,0.5081201876267415,0.19444444444444442,0.154320987654321,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,9,0.9542425094393249
30,0,g0030_cycle_chords_seed49,cycle_chords,cycle_chords,49,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0030_cycle_chords_seed49.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.066313206152702,3.2219603204247047,0.5081201876267413,0.19444444444444442,0.154320987654321,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,9,0.9542425094393249
31,1,g0031_cycle_chords_seed50,cycle_chords,cycle_chords,50,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0031_cycle_chords_seed50.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.13130660069214,3.007064798148741,0.4781427866556317,0.25,0.12222222222222201,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,10,1.0
32,0,g0032_cycle_chords_seed52,cycle_chords,cycle_chords,52,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0032_cycle_chords_seed52.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.852268343954262,3.292720864447209,0.5175549155984683,0.1875,0.18055555555555558,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,8,0.9030899869919435
33,0,g0033_cycle_chords_seed53,cycle_chords,cycle_chords,53,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0033_cycle_chords_seed53.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.110392666948807,2.588348406657814,0.4130227344792039,0.25,0.2777777777777777,0.0,1.6666666666666667,0.3333333333333333,0.5773502691896257,7,0.8450980400142568
34,0,g0034_cycle_chords_seed56,cycle_chords,cycle_chords,56,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0034_cycle_chords_seed56.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.7879761684476607,3.210826961568934,0.5066169011252938,0.25,0.21428571428571397,0.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,7,0.8450980400142568
35,0,g0035_cycle_chords_seed58,cycle_chords,cycle_chords,58,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0035_cycle_chords_seed58.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.9805203856696436,2.826670827146177,0.4512752367606234,0.3125,0.19444444444444442,0.0,1.6666666666666667,0.5773502691896257,0.3333333333333333,8,0.9030899869919435
36,0,g0036_cycle_chords_seed60,cycle_chords,cycle_chords,60,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0036_cycle_chords_seed60.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.066313206152702,3.2219603204247047,0.5081201876267413,0.19444444444444442,0.154320987654321,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,9,0.9542425094393249
37,0,g0037_cycle_chords_seed66,cycle_chords,cycle_chords,66,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0037_cycle_chords_seed66.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.13130660069214,3.0070647981487384,0.47814278665563137,0.25,0.12222222222222201,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,10,1.0
38,0,g0038_cycle_chords_seed68,cycle_chords,cycle_chords,68,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0038_cycle_chords_seed68.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.9805203856696427,2.8266708271461782,0.45127523676062364,0.3125,0.19444444444444442,0.0,1.6666666666666667,0.5773502691896257,0.3333333333333333,8,0.9030899869919435
39,0,g0039_cycle_chords_seed69,cycle_chords,cycle_chords,69,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0039_cycle_chords_seed69.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.13130660069214,3.00706479814874,0.4781427866556316,0.25,0.12222222222222201,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,10,1.0
40,0,g0040_cycle_chords_seed82,cycle_chords,cycle_chords,82,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0040_cycle_chords_seed82.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.648021658811948,3.732050807568876,0.5719475475333593,0.16666666666666674,0.22222222222222232,0.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,6,0.7781512503836436
41,0,g0041_cycle_chords_seed85,cycle_chords,cycle_chords,85,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0041_cycle_chords_seed85.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.7879761684476607,3.210826961568934,0.5066169011252938,0.25,0.21428571428571397,0.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,7,0.8450980400142568
42,0,g0042_cycle_chords_seed95,cycle_chords,cycle_chords,95,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0042_cycle_chords_seed95.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.131306600692139,3.0070647981487397,0.47814278665563154,0.25,0.12222222222222201,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,10,1.0
43,1,g0043_cycle_chords_seed96,cycle_chords,cycle_chords,96,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0043_cycle_chords_seed96.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.131306600692141,3.0070647981487375,0.4781427866556312,0.25,0.12222222222222201,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,10,1.0
44,0,g0044_random_sc_seed2,random_sc,random_sc,2,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0044_random_sc_seed2.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.9805203856696445,2.826670827146178,0.45127523676062353,0.3125,0.19444444444444442,0.0,1.6666666666666667,0.5773502691896257,0.3333333333333333,8,0.9030899869919435
45,0,g0045_random_sc_seed7,random_sc,random_sc,7,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0045_random_sc_seed7.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.648021658811948,3.7320508075688754,0.5719475475333591,0.16666666666666674,0.22222222222222232,0.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,6,0.7781512503836436
46,1,g0046_random_sc_seed11,random_sc,random_sc,11,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0046_random_sc_seed11.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.110392666948807,2.5883484066578144,0.41302273447920396,0.25,0.2777777777777777,0.0,1.6666666666666667,0.3333333333333333,0.5773502691896257,7,0.8450980400142568
47,0,g0047_random_sc_seed13,random_sc,random_sc,13,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0047_random_sc_seed13.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.9805203856696436,2.8266708271461773,0.45127523676062353,0.3125,0.19444444444444442,0.0,1.6666666666666667,0.5773502691896257,0.3333333333333333,8,0.9030899869919435
48,0,g0048_random_sc_seed18,random_sc,random_sc,18,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0048_random_sc_seed18.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.066313206152702,3.2219603204247043,0.5081201876267413,0.19444444444444442,0.154320987654321,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,9,0.9542425094393249
49,0,g0049_random_sc_seed20,random_sc,random_sc,20,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0049_random_sc_seed20.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.648021658811948,3.7320508075688767,0.5719475475333593,0.16666666666666674,0.22222222222222232,0.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,6,0.7781512503836436
50,0,g0050_random_sc_seed21,random_sc,random_sc,21,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0050_random_sc_seed21.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.110392666948806,2.588348406657815,0.413022734479204,0.25,0.2777777777777777,0.0,1.6666666666666667,0.3333333333333333,0.5773502691896257,7,0.8450980400142568
51,0,g0051_random_sc_seed27,random_sc,random_sc,27,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0051_random_sc_seed27.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.7879761684476607,3.210826961568933,0.5066169011252937,0.25,0.21428571428571397,0.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,7,0.8450980400142568
52,0,g0052_random_sc_seed29,random_sc,random_sc,29,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0052_random_sc_seed29.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.7879761684476616,3.2108269615689333,0.5066169011252937,0.25,0.21428571428571397,0.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,7,0.8450980400142568
53,0,g0053_random_sc_seed30,random_sc,random_sc,30,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0053_random_sc_seed30.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,4.066313206152702,3.2219603204247056,0.5081201876267414,0.19444444444444442,0.154320987654321,0.0,1.5833333333333333,0.3333333333333333,0.3333333333333333,9,0.9542425094393249
54,0,g0054_random_sc_seed35,random_sc,random_sc,35,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0054_random_sc_seed35.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.9805203856696436,2.826670827146177,0.4512752367606234,0.3125,0.19444444444444442,0.0,1.6666666666666667,0.5773502691896257,0.3333333333333333,8,0.9030899869919435
55,0,g0055_random_sc_seed64,random_sc,random_sc,64,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0055_random_sc_seed64.json,40,10,10.0,10,0.0,10,10.0,10,0.0,5,3.9805203856696445,2.826670827146178,0.45127523676062353,0.3125,0.19444444444444442,0.0,1.6666666666666667,0.5773502691896257,0.3333333333333333,8,0.9030899869919435
56,1,g0056_hub_spoke_seed1,hub_spoke,hub_spoke,1,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0056_hub_spoke_seed1.json,24,6,6.0,6,0.0,6,6.0,6,0.0,3,2.6246903390462615,2.0000000000000004,0.3010299956639813,0.0,0.25,0.0,1.5,0.5773502691896257,0.5773502691896257,4,0.6020599913279624
57,1,g0057_two_module_seed1,two_module,two_module,1,4,6,8,/home/aadarwal/repos/topology/ICL/results/expanded_hard_libraries/n4_m6_N3_D2/topologies/g0057_two_module_seed1.json,24,6,6.0,6,0.0,6,6.0,6,0.0,3,2.3015869150792385,2.414213562373094,0.3827756853378629,0.0,0.2222222222222221,0.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,4,0.6020599913279624
