group,group_by,n_runs,labels,seeds,target,target_mean,target_max,target_std,topology_name,physical_topology_name,input_mask_name,input_mask_family,input_mask_seed,n_nodes,n_edges,p,raw_physical_parameter_count,input_coupled_parameter_count,input_coupled_edge_count,input_coupled_coord_count,input_parameter_density,input_edge_density,input_coord_density,input_edge_load_gini,input_coord_load_gini,n_req,d_rel,d_rel_minus_n_req,comparison_branch_d_rel_min,comparison_branch_d_rel_mean,comparison_branch_d_rel_max,comparison_branch_d_rel_gini,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,comparison_branch_common_d_rel_max,comparison_branch_common_d_rel_gini,comparison_branch_common_d_rel_source,comparison_branch_input_count_min,comparison_branch_input_count_mean,comparison_branch_input_count_max,comparison_branch_input_count_gini,comparison_branch_input_overlap_min,comparison_branch_input_overlap_mean,comparison_branch_input_overlap_max,comparison_branch_input_overlap_gini,comparison_branch_input_overlap_source,rank_D,effective_rank_D,condition_number_D,effective_rank_D_masked,condition_number_D_masked,root_tree_count_cv,root_tree_count_gini,edge_participation_var,edge_participation_gini,bottleneck_edge_fraction_095,mean_shortest_path,train_acc_final_mean,train_acc_final_max,train_acc_final_std,val_acc_final_mean,val_acc_final_max,val_acc_final_std,icl_acc_final_eval_mean,icl_acc_final_eval_max,icl_acc_final_eval_std,icl_acc_max_eval_mean,icl_acc_max_eval_max,icl_acc_max_eval_std,icl_acc_mean_eval_mean,icl_acc_mean_eval_max,icl_acc_mean_eval_std,test_in_dist_mean,test_in_dist_max,test_in_dist_std,test_novel_classes_mean,test_novel_classes_max,test_novel_classes_std,n_mechanism_runs
cycle_chords_n4_m6_seed12,topology_name,5,g0010_cycle_chords_seed12_trainseed1;g0010_cycle_chords_seed12_trainseed2;g0010_cycle_chords_seed12_trainseed3;g0010_cycle_chords_seed12_trainseed4;g0010_cycle_chords_seed12_trainseed5,1;2;3;4;5,test_novel_classes,71.35999999999999,80.0,6.8578713898701835,cycle_chords_n4_m6_seed12,cycle_chords_n4_m6_seed12,full,,3.0,4.0,6.0,8.0,48.0,48.0,6.0,8.0,1.0,1.0,1.0,0.0,0.0,48.0,40.0,-8.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,artifact,12.0,12.0,12.0,0.0,12.0,12.0,12.0,0.0,artifact,5.0,3.9805203856696436,2.826670827146177,31.84416308535715,2.826670827146177,0.6123724356957945,0.3125,0.036458333333333336,0.19444444444444442,0.0,1.6666666666666667,72.24000000000001,80.06,6.38324055633187,70.55999999999999,79.6,7.106785489938471,70.9,80.0,7.618398781896364,74.5,81.0,4.711687595755898,66.0,73.85,6.104916051838878,71.47999999999999,83.6,7.210658777115999,71.35999999999999,80.0,6.8578713898701835,0
cycle_chords_n4_m6_seed14,topology_name,5,g0012_cycle_chords_seed14_trainseed1;g0012_cycle_chords_seed14_trainseed2;g0012_cycle_chords_seed14_trainseed3;g0012_cycle_chords_seed14_trainseed4;g0012_cycle_chords_seed14_trainseed5,1;2;3;4;5,test_novel_classes,69.67999999999999,76.0,4.498177408684544,cycle_chords_n4_m6_seed14,cycle_chords_n4_m6_seed14,full,,3.0,4.0,6.0,8.0,48.0,48.0,6.0,8.0,1.0,1.0,1.0,0.0,0.0,48.0,40.0,-8.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,artifact,12.0,12.0,12.0,0.0,12.0,12.0,12.0,0.0,artifact,5.0,4.066313206152702,3.2219603204247074,32.53050564922162,3.2219603204247074,0.3685138655950444,0.19444444444444442,0.019547325102880656,0.154320987654321,0.0,1.5833333333333333,71.672,75.94,3.5655821404084924,71.55999999999999,78.0,4.448190643396483,67.9,74.0,6.126989472816156,73.5,78.0,3.6606010435446255,67.18,72.15,3.9584845585147894,70.96,77.8,5.579103870694645,69.67999999999999,76.0,4.498177408684544,0
cycle_chords_n4_m6_seed15,topology_name,5,g0013_cycle_chords_seed15_trainseed1;g0013_cycle_chords_seed15_trainseed2;g0013_cycle_chords_seed15_trainseed3;g0013_cycle_chords_seed15_trainseed4;g0013_cycle_chords_seed15_trainseed5,1;2;3;4;5,test_novel_classes,69.44,77.2,4.09760905895133,cycle_chords_n4_m6_seed15,cycle_chords_n4_m6_seed15,full,,3.0,4.0,6.0,8.0,48.0,48.0,6.0,8.0,1.0,1.0,1.0,0.0,0.0,48.0,40.0,-8.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,artifact,12.0,12.0,12.0,0.0,12.0,12.0,12.0,0.0,artifact,5.0,3.648021658811948,3.7320508075688763,29.1841732704956,3.7320508075688763,0.3333333333333333,0.16666666666666674,0.055555555555555546,0.22222222222222232,0.0,1.6666666666666667,69.78799999999998,79.16,4.783682263696032,69.53999999999999,79.8,5.57515919055232,69.0,79.0,6.3796551630946325,73.2,80.0,3.9191835884530852,66.5,72.7,3.286487486664145,68.6,80.2,6.359874212592573,69.44,77.2,4.09760905895133,0
cycle_chords_n4_m6_seed2,topology_name,5,g0001_cycle_chords_seed2_trainseed1;g0001_cycle_chords_seed2_trainseed2;g0001_cycle_chords_seed2_trainseed3;g0001_cycle_chords_seed2_trainseed4;g0001_cycle_chords_seed2_trainseed5,1;2;3;4;5,test_novel_classes,70.32,74.0,4.196379391809088,cycle_chords_n4_m6_seed2,cycle_chords_n4_m6_seed2,full,,3.0,4.0,6.0,8.0,48.0,48.0,6.0,8.0,1.0,1.0,1.0,0.0,0.0,48.0,40.0,-8.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,artifact,12.0,12.0,12.0,0.0,12.0,12.0,12.0,0.0,artifact,5.0,4.066313206152702,3.221960320424704,32.530505649221645,3.221960320424704,0.3685138655950444,0.19444444444444442,0.019547325102880656,0.154320987654321,0.0,1.5833333333333333,72.41999999999999,75.9,3.06100637046054,70.76,73.9,2.601230478062261,70.3,73.0,1.661324772583615,73.2,77.5,3.3555923471125038,68.05,71.05,2.8877326746082272,72.32000000000001,77.8,4.508835769907796,70.32,74.0,4.196379391809088,0
cycle_chords_n4_m6_seed3,topology_name,5,g0002_cycle_chords_seed3_trainseed1;g0002_cycle_chords_seed3_trainseed2;g0002_cycle_chords_seed3_trainseed3;g0002_cycle_chords_seed3_trainseed4;g0002_cycle_chords_seed3_trainseed5,1;2;3;4;5,test_novel_classes,66.0,67.6,0.9549869109050645,cycle_chords_n4_m6_seed3,cycle_chords_n4_m6_seed3,full,,3.0,4.0,6.0,8.0,48.0,48.0,6.0,8.0,1.0,1.0,1.0,0.0,0.0,48.0,40.0,-8.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,artifact,12.0,12.0,12.0,0.0,12.0,12.0,12.0,0.0,artifact,5.0,3.8522683439542633,3.292720864447211,30.81814675163409,3.292720864447211,0.3535533905932738,0.1875,0.026041666666666668,0.18055555555555558,0.0,1.5833333333333333,68.424,69.84,1.0975900874187985,68.28,70.7,2.170161284328886,70.3,72.0,1.4,71.5,72.0,0.5477225575051661,65.05,67.15,1.6324827717314538,67.44,69.4,1.9283153269110334,66.0,67.6,0.9549869109050645,0
cycle_chords_n4_m6_seed5,topology_name,5,g0004_cycle_chords_seed5_trainseed1;g0004_cycle_chords_seed5_trainseed2;g0004_cycle_chords_seed5_trainseed3;g0004_cycle_chords_seed5_trainseed4;g0004_cycle_chords_seed5_trainseed5,1;2;3;4;5,test_novel_classes,67.6,78.6,5.69209978830308,cycle_chords_n4_m6_seed5,cycle_chords_n4_m6_seed5,full,,3.0,4.0,6.0,8.0,48.0,48.0,6.0,8.0,1.0,1.0,1.0,0.0,0.0,48.0,40.0,-8.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,artifact,12.0,12.0,12.0,0.0,12.0,12.0,12.0,0.0,artifact,5.0,4.130851920890753,2.0,33.04681536712601,2.0,0.0,0.0,0.041666666666666664,0.2222222222222221,0.0,1.5,69.03999999999999,79.14,5.151062026417465,68.02000000000001,76.8,4.463810031800186,70.0,79.5,5.0,71.5,79.5,4.43846820423443,66.62,75.4,4.707929481205089,67.96,79.0,5.83698552336735,67.6,78.6,5.69209978830308,0
cycle_chords_n4_m6_seed50,topology_name,5,g0031_cycle_chords_seed50_trainseed1;g0031_cycle_chords_seed50_trainseed2;g0031_cycle_chords_seed50_trainseed3;g0031_cycle_chords_seed50_trainseed4;g0031_cycle_chords_seed50_trainseed5,1;2;3;4;5,test_novel_classes,69.6,80.2,5.99733274047722,cycle_chords_n4_m6_seed50,cycle_chords_n4_m6_seed50,full,,3.0,4.0,6.0,8.0,48.0,48.0,6.0,8.0,1.0,1.0,1.0,0.0,0.0,48.0,40.0,-8.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,artifact,12.0,12.0,12.0,0.0,12.0,12.0,12.0,0.0,artifact,5.0,4.13130660069214,3.007064798148741,33.05045280553712,3.007064798148741,0.447213595499958,0.25,0.013333333333333327,0.12222222222222201,0.0,1.5833333333333333,70.46799999999999,79.96,4.99160254828046,69.78,80.0,5.2757558700152165,69.3,77.5,4.578209256903839,72.5,82.0,5.282045058497703,66.4,76.8,5.258802144975602,70.64,79.4,6.251271870587621,69.6,80.2,5.99733274047722,0
cycle_chords_n4_m6_seed6,topology_name,5,g0005_cycle_chords_seed6_trainseed1;g0005_cycle_chords_seed6_trainseed2;g0005_cycle_chords_seed6_trainseed3;g0005_cycle_chords_seed6_trainseed4;g0005_cycle_chords_seed6_trainseed5,1;2;3;4;5,test_novel_classes,72.24000000000001,76.2,3.145536520214003,cycle_chords_n4_m6_seed6,cycle_chords_n4_m6_seed6,full,,3.0,4.0,6.0,8.0,48.0,48.0,6.0,8.0,1.0,1.0,1.0,0.0,0.0,48.0,40.0,-8.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,artifact,12.0,12.0,12.0,0.0,12.0,12.0,12.0,0.0,artifact,5.0,3.78797616844766,3.210826961568933,30.303809347581268,3.210826961568933,0.4738035414793428,0.25,0.039115646258503396,0.21428571428571397,0.0,1.6666666666666667,74.11600000000001,77.92,3.771501557735325,73.06,75.9,4.140821174598099,73.3,77.0,2.420743687382041,74.4,78.0,2.90516780926679,68.96000000000001,72.3,3.2122266420662147,72.12,76.2,2.9410202311442886,72.24000000000001,76.2,3.145536520214003,0
cycle_chords_n4_m6_seed96,topology_name,5,g0043_cycle_chords_seed96_trainseed1;g0043_cycle_chords_seed96_trainseed2;g0043_cycle_chords_seed96_trainseed3;g0043_cycle_chords_seed96_trainseed4;g0043_cycle_chords_seed96_trainseed5,1;2;3;4;5,test_novel_classes,72.16,78.0,4.194091081509796,cycle_chords_n4_m6_seed96,cycle_chords_n4_m6_seed96,full,,3.0,4.0,6.0,8.0,48.0,48.0,6.0,8.0,1.0,1.0,1.0,0.0,0.0,48.0,40.0,-8.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,artifact,12.0,12.0,12.0,0.0,12.0,12.0,12.0,0.0,artifact,5.0,4.131306600692141,3.0070647981487375,33.05045280553712,3.0070647981487375,0.447213595499958,0.25,0.013333333333333327,0.12222222222222201,0.0,1.5833333333333333,72.72,75.58,3.11702422191423,71.9,77.0,3.232955304361628,72.6,76.0,2.8,74.7,79.0,3.867815921162743,67.9,70.2,1.7632356620712988,71.08000000000001,75.2,2.6460536653665963,72.16,78.0,4.194091081509796,0
hub_spoke_n4_m6_seed1,topology_name,5,g0056_hub_spoke_seed1_trainseed1;g0056_hub_spoke_seed1_trainseed2;g0056_hub_spoke_seed1_trainseed3;g0056_hub_spoke_seed1_trainseed4;g0056_hub_spoke_seed1_trainseed5,1;2;3;4;5,test_novel_classes,66.55999999999999,72.0,2.8408449447303523,hub_spoke_n4_m6_seed1,hub_spoke_n4_m6_seed1,full,,3.0,4.0,6.0,8.0,48.0,48.0,6.0,8.0,1.0,1.0,1.0,0.0,0.0,48.0,24.0,-24.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,artifact,12.0,12.0,12.0,0.0,12.0,12.0,12.0,0.0,artifact,3.0,2.6246903390462615,2.0000000000000004,20.997522712370102,2.0000000000000004,0.0,0.0,0.0625,0.25,0.0,1.5,68.748,73.48,3.127186595008364,69.08,74.5,3.8757708910615447,67.9,74.5,3.7336309405188937,71.3,76.0,2.4413111231467406,65.61,68.25,1.5969971822141702,67.63999999999999,72.6,4.2377352442076885,66.55999999999999,72.0,2.8408449447303523,0
random_sc_n4_m6_seed11,topology_name,5,g0046_random_sc_seed11_trainseed1;g0046_random_sc_seed11_trainseed2;g0046_random_sc_seed11_trainseed3;g0046_random_sc_seed11_trainseed4;g0046_random_sc_seed11_trainseed5,1;2;3;4;5,test_novel_classes,69.24,72.6,2.6119724347703195,random_sc_n4_m6_seed11,random_sc_n4_m6_seed11,full,,3.0,4.0,6.0,8.0,48.0,48.0,6.0,8.0,1.0,1.0,1.0,0.0,0.0,48.0,40.0,-8.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,artifact,12.0,12.0,12.0,0.0,12.0,12.0,12.0,0.0,artifact,5.0,4.110392666948807,2.5883484066578144,32.88314133559046,2.5883484066578144,0.4738035414793428,0.25,0.05952380952380952,0.2777777777777777,0.0,1.6666666666666667,71.04400000000001,73.8,2.894778748022029,69.22,72.8,2.919863010485251,69.6,74.5,4.6946778377222005,73.3,76.5,2.293468988235943,66.47,69.0,2.0960916010518233,70.0,73.2,3.3490297102295163,69.24,72.6,2.6119724347703195,0
two_module_n4_m6_seed1,topology_name,5,g0057_two_module_seed1_trainseed1;g0057_two_module_seed1_trainseed2;g0057_two_module_seed1_trainseed3;g0057_two_module_seed1_trainseed4;g0057_two_module_seed1_trainseed5,1;2;3;4;5,test_novel_classes,66.24000000000001,72.4,3.3115555257310754,two_module_n4_m6_seed1,two_module_n4_m6_seed1,full,,3.0,4.0,6.0,8.0,48.0,48.0,6.0,8.0,1.0,1.0,1.0,0.0,0.0,48.0,24.0,-24.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,artifact,12.0,12.0,12.0,0.0,12.0,12.0,12.0,0.0,artifact,3.0,2.3015869150792385,2.414213562373094,18.412695320633908,2.414213562373094,0.0,0.0,0.041666666666666664,0.2222222222222221,0.0,1.6666666666666667,68.14399999999999,74.38,3.2290531119818997,67.24,74.4,4.07803874429854,67.8,78.5,5.929586832149438,71.3,78.5,3.9446165846632044,64.72,68.5,2.2028617750553496,66.72,71.2,3.128194367362744,66.24000000000001,72.4,3.3115555257310754,0
