idx,selected,topology_id,topology_name,family,control_kind,seed,source_topology_id,source_topology_name,source_edge_json,source_n_edges,source_d_rel,source_effective_rank_D,source_root_tree_count_gini,source_edge_participation_gini,match_score,n_nodes,n_edges,p,edge_json,d_rel,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,comparison_branch_common_d_rel_max,comparison_branch_common_d_rel_gini,comparison_branch_d_rel_min,comparison_branch_d_rel_mean,comparison_branch_d_rel_max,comparison_branch_d_rel_gini,rank_D,effective_rank_D,condition_number_D,root_tree_count_gini,edge_participation_gini,bottleneck_edge_fraction_095,mean_shortest_path,in_degree_cv,out_degree_cv,n_trees_total_enum
16,1,ctrl0016_random_sc_for_ess0010_input_ablation_loss_m13,matched_control_random_sc_for_ess0010_input_ablation_loss_m13_seed1323,matched_motif_control,random_sc,1323,ess0010_input_ablation_loss_m13,essential_input_ablation_loss_n6_m13_0010,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50/topologies/ess0010_input_ablation_loss_m13.json,13.0,240.0,9.061907591619134,0.37542087542087543,0.21072261072261034,0.0072600343506749555,6,13,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50_matched_controls/topologies/ctrl0016_random_sc_for_ess0010_input_ablation_loss_m13.json,240,48,48.0,48,0.0,48,48.0,48,0.0,12,9.073816350565314,5.181086077749195,0.3666666666666667,0.1772307692307693,0.0,1.7,0.49254801826406536,0.41424344670265417,125
104,1,ctrl0104_degree_rewire_for_ess0010_input_ablation_loss_m13,matched_control_degree_rewire_for_ess0010_input_ablation_loss_m13_seed2405,matched_motif_control,degree_rewire,2405,ess0010_input_ablation_loss_m13,essential_input_ablation_loss_n6_m13_0010,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50/topologies/ess0010_input_ablation_loss_m13.json,13.0,240.0,9.061907591619134,0.37542087542087543,0.21072261072261034,0.0032928727461552128,6,13,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50_matched_controls/topologies/ctrl0104_degree_rewire_for_ess0010_input_ablation_loss_m13.json,240,48,48.0,48,0.0,48,48.0,48,0.0,12,9.10125023552128,5.246531883712212,0.3814814814814813,0.20136752136752145,0.0,1.7666666666666666,0.49254801826406536,0.41424344670265417,90
139,1,ctrl0139_random_sc_for_ess0012_input_ablation_loss_m16,matched_control_random_sc_for_ess0012_input_ablation_loss_m16_seed101544,matched_motif_control,random_sc,101544,ess0012_input_ablation_loss_m16,essential_input_ablation_loss_n6_m16_0012,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50/topologies/ess0012_input_ablation_loss_m16.json,16.0,300.0,11.650731852403812,0.33333333333333326,0.13874999999999993,0.003538804881674648,6,16,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50_matched_controls/topologies/ctrl0139_random_sc_for_ess0012_input_ablation_loss_m16.json,300,60,60.0,60,0.0,60,60.0,60,0.0,15,11.664892946231733,5.189323298001688,0.3402777777777777,0.1518229166666667,0.0,1.5333333333333334,0.46770717334674267,0.27950849718747367,288
187,1,ctrl0187_degree_rewire_for_ess0012_input_ablation_loss_m16,matched_control_degree_rewire_for_ess0012_input_ablation_loss_m16_seed101691,matched_motif_control,degree_rewire,101691,ess0012_input_ablation_loss_m16,essential_input_ablation_loss_n6_m16_0012,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50/topologies/ess0012_input_ablation_loss_m16.json,16.0,300.0,11.650731852403812,0.33333333333333326,0.13874999999999993,0.0002569281896845545,6,16,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50_matched_controls/topologies/ctrl0187_degree_rewire_for_ess0012_input_ablation_loss_m16.json,300,60,60.0,60,0.0,60,60.0,60,0.0,15,11.648828542130106,5.632011079793026,0.332051282051282,0.13865384615384624,0.0,1.5666666666666667,0.46770717334674267,0.27950849718747367,260
287,1,ctrl0287_random_sc_for_ess0013_input_ablation_loss_m13,matched_control_random_sc_for_ess0013_input_ablation_loss_m13_seed201884,matched_motif_control,random_sc,201884,ess0013_input_ablation_loss_m13,essential_input_ablation_loss_n6_m13_0013,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50/topologies/ess0013_input_ablation_loss_m13.json,13.0,240.0,9.138624489737218,0.5283018867924527,0.1782293178519596,0.015004491476519033,6,13,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50_matched_controls/topologies/ctrl0287_random_sc_for_ess0013_input_ablation_loss_m13.json,240,48,48.0,48,0.0,48,48.0,48,0.0,12,8.762914054075766,10.746404869829508,0.5,0.19884201819685665,0.0,1.9,0.41424344670265417,0.41424344670265417,93
310,1,ctrl0310_degree_rewire_for_ess0013_input_ablation_loss_m13,matched_control_degree_rewire_for_ess0013_input_ablation_loss_m13_seed201844,matched_motif_control,degree_rewire,201844,ess0013_input_ablation_loss_m13,essential_input_ablation_loss_n6_m13_0013,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50/topologies/ess0013_input_ablation_loss_m13.json,13.0,240.0,9.138624489737218,0.5283018867924527,0.1782293178519596,0.0,6,13,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50_matched_controls/topologies/ctrl0310_degree_rewire_for_ess0013_input_ablation_loss_m13.json,240,48,48.0,48,0.0,48,48.0,48,0.0,12,9.138624489737218,10.932273562914675,0.5283018867924527,0.1782293178519596,0.0,2.0,0.6749972605686249,0.41424344670265417,106
391,1,ctrl0391_random_sc_for_ess0014_input_ablation_loss_m15,matched_control_random_sc_for_ess0014_input_ablation_loss_m15_seed302122,matched_motif_control,random_sc,302122,ess0014_input_ablation_loss_m15,essential_input_ablation_loss_n6_m15_0014,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50/topologies/ess0014_input_ablation_loss_m15.json,15.0,280.0,10.80999454847414,0.48333333333333317,0.15822222222222204,0.009596356698967615,6,15,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50_matched_controls/topologies/ctrl0391_random_sc_for_ess0014_input_ablation_loss_m15.json,280,56,56.0,56,0.0,56,56.0,56,0.0,14,10.569165708182728,8.416179954311563,0.5062893081761006,0.17056603773584933,0.0,1.7333333333333334,0.5033222956847166,0.38297084310253526,212
423,1,ctrl0423_degree_rewire_for_ess0014_input_ablation_loss_m15,matched_control_degree_rewire_for_ess0014_input_ablation_loss_m15_seed302065,matched_motif_control,degree_rewire,302065,ess0014_input_ablation_loss_m15,essential_input_ablation_loss_n6_m15_0014,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50/topologies/ess0014_input_ablation_loss_m15.json,15.0,280.0,10.80999454847414,0.48333333333333317,0.15822222222222204,0.0013161291681322341,6,15,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50_matched_controls/topologies/ctrl0423_degree_rewire_for_ess0014_input_ablation_loss_m15.json,280,56,56.0,56,0.0,56,56.0,56,0.0,14,10.780497491031644,8.778744872351025,0.4843304843304843,0.16239316239316248,0.0,1.7,0.5537749241945383,0.38297084310253526,234
459,1,ctrl0459_random_sc_for_ess0017_input_ablation_loss_m15,matched_control_random_sc_for_ess0017_input_ablation_loss_m15_seed401238,matched_motif_control,random_sc,401238,ess0017_input_ablation_loss_m15,essential_input_ablation_loss_n6_m15_0017,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50/topologies/ess0017_input_ablation_loss_m15.json,15.0,280.0,11.06214642016587,0.21531531531531534,0.21852252252252247,0.0039299557034324925,6,15,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50_matched_controls/topologies/ctrl0459_random_sc_for_ess0017_input_ablation_loss_m15.json,280,56,56.0,56,0.0,56,56.0,56,0.0,14,10.945648111339478,4.752080763639405,0.22486772486772488,0.21502645502645512,0.0,1.6,0.30550504633038933,0.38297084310253526,189
560,1,ctrl0560_degree_rewire_for_ess0017_input_ablation_loss_m15,matched_control_degree_rewire_for_ess0017_input_ablation_loss_m15_seed402286,matched_motif_control,degree_rewire,402286,ess0017_input_ablation_loss_m15,essential_input_ablation_loss_n6_m15_0017,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50/topologies/ess0017_input_ablation_loss_m15.json,15.0,280.0,11.06214642016587,0.21531531531531534,0.21852252252252247,0.0017370898214083847,6,15,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50_matched_controls/topologies/ctrl0560_degree_rewire_for_ess0017_input_ablation_loss_m15.json,280,56,56.0,56,0.0,56,56.0,56,0.0,14,11.039587976296515,4.245456460687464,0.21212121212121215,0.21333333333333337,0.0,1.5666666666666667,0.30550504633038933,0.38297084310253526,198
589,1,ctrl0589_random_sc_for_ess0019_input_ablation_loss_m13,matched_control_random_sc_for_ess0019_input_ablation_loss_m13_seed501272,matched_motif_control,random_sc,501272,ess0019_input_ablation_loss_m13,essential_input_ablation_loss_n6_m13_0019,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50/topologies/ess0019_input_ablation_loss_m13.json,13.0,240.0,8.543362338063629,0.31481481481481466,0.170940170940171,0.008869315494714333,6,13,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50_matched_controls/topologies/ctrl0589_random_sc_for_ess0019_input_ablation_loss_m13.json,240,48,48.0,48,0.0,48,48.0,48,0.0,12,8.790938802941247,4.885986085759236,0.32474226804123707,0.1852498017446471,0.0,1.7666666666666666,0.41424344670265417,0.31716197120135853,97
646,1,ctrl0646_degree_rewire_for_ess0019_input_ablation_loss_m13,matched_control_degree_rewire_for_ess0019_input_ablation_loss_m13_seed501572,matched_motif_control,degree_rewire,501572,ess0019_input_ablation_loss_m13,essential_input_ablation_loss_n6_m13_0019,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50/topologies/ess0019_input_ablation_loss_m13.json,13.0,240.0,8.543362338063629,0.31481481481481466,0.170940170940171,0.008326626057497255,6,13,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50_matched_controls/topologies/ctrl0646_degree_rewire_for_ess0019_input_ablation_loss_m13.json,240,48,48.0,48,0.0,48,48.0,48,0.0,12,8.710721560424934,4.783878735329653,0.3111111111111111,0.1976068376068374,0.0,1.7333333333333334,0.49254801826406536,0.31716197120135853,90
749,1,ctrl0749_random_sc_for_ess0020_input_ablation_loss_m10,matched_control_random_sc_for_ess0020_input_ablation_loss_m10_seed601867,matched_motif_control,random_sc,601867,ess0020_input_ablation_loss_m10,essential_input_ablation_loss_n6_m10_0020,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50/topologies/ess0020_input_ablation_loss_m10.json,10.0,180.0,6.694312905541795,0.2999999999999998,0.21733333333333338,0.0038657000149039025,6,10,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50_matched_controls/topologies/ctrl0749_random_sc_for_ess0020_input_ablation_loss_m10.json,180,36,36.0,36,0.0,36,36.0,36,0.0,9,6.679624243565827,4.019756808405339,0.2916666666666665,0.22999999999999998,0.0,2.1333333333333333,0.4472135954999579,0.447213595499958,32
790,1,ctrl0790_degree_rewire_for_ess0020_input_ablation_loss_m10,matched_control_degree_rewire_for_ess0020_input_ablation_loss_m10_seed601963,matched_motif_control,degree_rewire,601963,ess0020_input_ablation_loss_m10,essential_input_ablation_loss_n6_m10_0020,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50/topologies/ess0020_input_ablation_loss_m10.json,10.0,180.0,6.694312905541795,0.2999999999999998,0.21733333333333338,0.003340395151957882,6,10,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50_matched_controls/topologies/ctrl0790_degree_rewire_for_ess0020_input_ablation_loss_m10.json,180,36,36.0,36,0.0,36,36.0,36,0.0,9,6.709856703833394,4.219561368186001,0.28494623655913975,0.21999999999999997,0.0,1.9333333333333333,0.4472135954999579,0.4472135954999579,31
840,1,ctrl0840_random_sc_for_ess0023_input_ablation_loss_m10,matched_control_random_sc_for_ess0023_input_ablation_loss_m10_seed701323,matched_motif_control,random_sc,701323,ess0023_input_ablation_loss_m10,essential_input_ablation_loss_n6_m10_0023,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50/topologies/ess0023_input_ablation_loss_m10.json,10.0,180.0,6.694312905541796,0.2999999999999998,0.21733333333333338,0.004454150423672774,6,10,20,/home/aadarwal/repos/topology/ICL/results/input_mask_fixed_m20_random_sc_seed3_c200/essential_input50_matched_controls/topologies/ctrl0840_random_sc_for_ess0023_input_ablation_loss_m10.json,180,36,36.0,36,0.0,36,36.0,36,0.0,9,6.678302992923477,4.21515417829371,0.3229166666666665,0.21875,0.0,2.033333333333333,0.4472135954999579,0.4472135954999579,32
