pair_id,arm,base_id,low_role_topology_id,high_role_topology_id,low_role,high_role,tree_count_low,tree_count_high,tree_count_delta,normal_fan_score_low,normal_fan_score_high,normal_fan_score_delta,active_tree_low,active_tree_high,branch_tree_nmi_low,branch_tree_nmi_high,mean_novel_icl_low,mean_novel_icl_high,mean_novel_icl_delta_high_minus_low,best_seed_novel_icl_low,best_seed_novel_icl_high,best_seed_novel_icl_delta_high_minus_low,seed_std_novel_icl_low,seed_std_novel_icl_high,seed_std_novel_icl_delta_high_minus_low,n_trees_total_enum_log_low,n_trees_total_enum_log_high,n_trees_total_enum_log_delta_high_minus_low,normal_fan_score_delta_high_minus_low,normal_fan_active_tree_count_mean_low,normal_fan_active_tree_count_mean_high,normal_fan_active_tree_count_mean_delta_high_minus_low,cross_contrast_effective_rank_mean_low,cross_contrast_effective_rank_mean_high,cross_contrast_effective_rank_mean_delta_high_minus_low,cross_all_supported_effective_rank_low,cross_all_supported_effective_rank_high,cross_all_supported_effective_rank_delta_high_minus_low,decoder_topk_assignment_score_low,decoder_topk_assignment_score_high,decoder_topk_assignment_score_delta_high_minus_low,gamma_exact_lcvar_low,gamma_exact_lcvar_high,gamma_exact_lcvar_delta_high_minus_low
base00_degree_balanced_seed9_armA_01,arm_A_fixed_tree_count_variable_normal_fan,base00_degree_balanced_seed9,mb0054_base00_degree_balanced_seed9_rw1374497,mb0044_base00_degree_balanced_seed9_rw6871406,low_normal_fan,high_normal_fan,80.0,80.0,0.0,-0.3967788107611052,4.685491951404499,5.082270762165605,57.5,63.875,0.09186021874414435,0.12206058721190732,84.72,95.28,10.560000000000002,95.4,98.2,2.799999999999997,12.59307746343204,2.62480475464367,-9.968272708788371,1.9030899869919435,1.9030899869919435,0.0,5.082270762165605,57.5,63.875,6.375,9.079538102084724,9.079538102084719,-5.329070518200751e-15,9.079538102084724,9.079538102084719,-5.329070518200751e-15,1.0,1.0,0.0,-2.2208102705965955,-2.9365486887802286,-0.715738418183633
base00_degree_balanced_seed9_armB_01,arm_B_variable_tree_count_matched_normal_fan,base00_degree_balanced_seed9,mb0024_base00_degree_balanced_seed9_rw1302872,mb0070_base00_degree_balanced_seed9_rw7728494,low_tree_count,high_tree_count,65.0,80.0,15.0,0.741350561401476,0.6888846348117833,-0.052465926589692735,53.75,60.25,0.11312107399256238,0.09614694749828166,80.64000000000001,88.44000000000001,7.799999999999997,94.4,97.2,2.799999999999997,11.437062559940818,11.46989101953458,0.03282845959376246,1.8129133566428555,1.9030899869919435,0.09017663034908807,-0.052465926589692735,53.75,60.25,6.5,8.763063669735347,9.079538102084724,0.3164744323493771,8.763063669735347,9.079538102084724,0.3164744323493771,1.0,1.0,0.0,-6.681504307545596,-2.8035452983099276,3.877959009235669
base00_degree_balanced_seed9_armB_02,arm_B_variable_tree_count_matched_normal_fan,base00_degree_balanced_seed9,mb0057_base00_degree_balanced_seed9_rw9741299,mb0054_base00_degree_balanced_seed9_rw1374497,low_tree_count,high_tree_count,65.0,80.0,15.0,-0.5024625441079995,-0.3967788107611052,0.10568373334689429,52.625,57.5,0.10808504145783067,0.09186021874414435,88.03999999999999,84.72,-3.319999999999993,95.2,95.4,0.20000000000000284,6.028465808147209,12.59307746343204,6.564611655284831,1.8129133566428555,1.9030899869919435,0.09017663034908807,0.10568373334689429,52.625,57.5,4.875,8.763063669735343,9.079538102084724,0.31647443234938066,8.763063669735343,9.079538102084724,0.31647443234938066,1.0,1.0,0.0,-3.403200172043705,-2.2208102705965955,1.1823899014471095
base01_degree_balanced_seed60_armA_01,arm_A_fixed_tree_count_variable_normal_fan,base01_degree_balanced_seed60,mb0122_base01_degree_balanced_seed60_rw5473513,mb0087_base01_degree_balanced_seed60_rw55816,low_normal_fan,high_normal_fan,82.0,84.0,2.0,-0.2734139993770973,5.033892978139332,5.307306977516429,57.5,64.875,0.09654138469548026,0.1215193484166478,95.28,93.6,-1.6800000000000068,97.4,97.8,0.3999999999999915,2.7614488950549134,4.586937976471884,1.8254890814169702,1.9138138523837167,1.9242792860618816,0.010465433678164882,5.307306977516429,57.5,64.875,7.375,9.102647298864992,9.068374276555069,-0.03427302230992346,9.10264729886499,9.068374276555069,-0.034273022309921686,1.0,1.0,0.0,-1.101177955661506,-2.052100287497321,-0.9509223318358149
base01_degree_balanced_seed60_armA_03,arm_A_fixed_tree_count_variable_normal_fan,base01_degree_balanced_seed60,mb0081_base01_degree_balanced_seed60_rw3246462,mb0100_base01_degree_balanced_seed60_rw5708776,low_normal_fan,high_normal_fan,70.0,72.0,2.0,-1.0660609236214766,3.145477344155742,4.211538267777219,53.875,59.5,0.1025971343438212,0.1214838228116477,95.11999999999999,89.72,-5.3999999999999915,97.4,97.2,-0.20000000000000284,1.6761861471805577,11.840675656397314,10.164489509216757,1.845098040014257,1.8573324964312685,0.012234456417011597,4.211538267777219,53.875,59.5,5.625,8.7649532588598,8.854682394291865,0.08972913543206573,8.7649532588598,8.854682394291865,0.08972913543206573,1.0,1.0,0.0,-1.6978039890031058,-2.612005144607266,-0.9142011556041603
base01_degree_balanced_seed60_armB_01,arm_B_variable_tree_count_matched_normal_fan,base01_degree_balanced_seed60,mb0080_base01_degree_balanced_seed60_rw6405499,mb0122_base01_degree_balanced_seed60_rw5473513,low_tree_count,high_tree_count,64.0,82.0,18.0,-0.3171635442594834,-0.2734139993770973,0.04374954488238608,52.875,57.5,0.10744855330234646,0.09654138469548026,93.56000000000002,95.28,1.7199999999999847,96.4,97.4,1.0,3.2059943855222226,2.7614488950549134,-0.4445454904673092,1.806179973983887,1.9138138523837167,0.10763387839982963,0.04374954488238608,52.875,57.5,4.625,8.465190945476435,9.102647298864992,0.6374563533885578,8.465190945476435,9.10264729886499,0.637456353388556,1.0,1.0,0.0,-3.4979452779296296,-1.101177955661506,2.396767322268124
base01_degree_balanced_seed60_armB_02,arm_B_variable_tree_count_matched_normal_fan,base01_degree_balanced_seed60,mb0143_base01_degree_balanced_seed60_rw4718007,mb0127_base01_degree_balanced_seed60_rw7026294,low_tree_count,high_tree_count,72.0,90.0,18.0,2.490992627926562,2.3673222068015893,-0.12367042112497284,59.0,61.875,0.11013610124268941,0.10990989246026507,90.12,96.6,6.47999999999999,96.4,98.2,1.7999999999999972,9.438304932560717,1.5849290204927171,-7.853375912068,1.8573324964312685,1.954242509439325,0.09691001300805646,-0.12367042112497284,59.0,61.875,2.875,8.854682394291869,9.204977095061963,0.3502947007700943,8.854682394291869,9.204977095061963,0.3502947007700943,1.0,1.0,0.0,-2.742991112960113,-3.270350914394765,-0.5273598014346517
base02_random_sc_seed2_armA_01,arm_A_fixed_tree_count_variable_normal_fan,base02_random_sc_seed2,mb0164_base02_random_sc_seed2_rw2626549,mb0219_base02_random_sc_seed2_rw2997037,low_normal_fan,high_normal_fan,66.0,66.0,0.0,-4.64696533079197,1.090372498897572,5.737337829689542,47.5,53.875,0.08260409019244937,0.11835119053939402,86.72,83.92,-2.799999999999997,93.0,90.8,-2.200000000000003,7.293394271530914,5.968718455414025,-1.3246758161168897,1.8195439355418688,1.8195439355418688,0.0,5.737337829689542,47.5,53.875,6.375,8.358803663697673,8.358803663697676,3.552713678800501e-15,8.358803663697673,8.358803663697676,3.552713678800501e-15,1.0,1.0,0.0,-2.2192963302853745,-2.5137900010242196,-0.294493670738845
base03_random_sc_seed92_armA_01,arm_A_fixed_tree_count_variable_normal_fan,base03_random_sc_seed92,mb0285_base03_random_sc_seed92_rw6124706,mb0317_base03_random_sc_seed92_rw5450770,low_normal_fan,high_normal_fan,63.0,65.0,2.0,-3.7512877695939393,0.5355398958514027,4.286827665445342,49.25,53.625,0.09047719833443832,0.11535028980113465,83.32000000000001,88.63999999999999,5.319999999999979,95.0,94.4,-0.5999999999999943,10.99498067301621,5.587700779390395,-5.407279893625815,1.7993405494535817,1.8129133566428555,0.013572807189273783,4.286827665445342,49.25,53.625,4.375,8.612885166798343,8.69593343999965,0.0830482732013067,8.612885166798343,8.69593343999965,0.0830482732013067,1.0,1.0,0.0,-2.3932554832862425,-3.7141312975167122,-1.3208758142304697
base03_random_sc_seed92_armB_01,arm_B_variable_tree_count_matched_normal_fan,base03_random_sc_seed92,mb0243_base03_random_sc_seed92_rw8028881,mb0250_base03_random_sc_seed92_rw5413294,low_tree_count,high_tree_count,60.0,76.0,16.0,-0.6502190404152624,-0.6382110655748857,0.012007974840376634,50.5,57.125,0.11296243066494888,0.08859179502721516,84.6,89.2,4.6000000000000085,94.6,95.8,1.2000000000000028,6.406246951218786,11.122589626521332,4.716342675302546,1.7781512503836436,1.8808135922807914,0.10266234189714774,0.012007974840376634,50.5,57.125,6.625,8.422704235899515,9.11364343546026,0.690939199560745,8.422704235899513,9.113643435460258,0.690939199560745,1.0,1.0,0.0,-3.635637657103589,-3.0097679335319074,0.6258697235716815
base04_cycle_chords_seed41_armA_01,arm_A_fixed_tree_count_variable_normal_fan,base04_cycle_chords_seed41,mb0347_base04_cycle_chords_seed41_rw3434009,mb0381_base04_cycle_chords_seed41_rw1669227,low_normal_fan,high_normal_fan,78.0,78.0,0.0,0.3532119162870548,4.61324931941978,4.260037403132725,59.625,63.125,0.09790659703773483,0.12180466460119255,77.72,82.64,4.920000000000002,87.0,89.8,2.799999999999997,8.863046880164855,6.545105041173902,-2.3179418389909534,1.8920946026904804,1.8920946026904804,0.0,4.260037403132725,59.625,63.125,3.5,8.35060360430428,8.350603604304277,-3.552713678800501e-15,8.35060360430428,8.350603604304277,-3.552713678800501e-15,1.0,1.0,0.0,-3.6428350112666323,-4.333094457231882,-0.6902594459652494
base04_cycle_chords_seed41_armA_03,arm_A_fixed_tree_count_variable_normal_fan,base04_cycle_chords_seed41,mb0331_base04_cycle_chords_seed41_rw5585230,mb0354_base04_cycle_chords_seed41_rw7178112,low_normal_fan,high_normal_fan,72.0,72.0,0.0,-1.4684483833378281,2.4178254002987964,3.8862737836366246,55.625,59.625,0.09298428537759171,0.11316264892742439,81.52000000000001,79.96000000000001,-1.5600000000000023,86.4,87.2,0.7999999999999972,2.6095210288480173,9.03539705823712,6.425876029389102,1.8573324964312685,1.8573324964312685,0.0,3.8862737836366246,55.625,59.625,4.0,8.262537677266003,8.262537677266009,5.329070518200751e-15,8.262537677266003,8.262537677266007,3.552713678800501e-15,1.0,1.0,0.0,-3.006268849562492,-3.5259362807833505,-0.5196674312208587
base05_redundant_paths_seed1_armA_01,arm_A_fixed_tree_count_variable_normal_fan,base05_redundant_paths_seed1,mb0475_base05_redundant_paths_seed1_rw4566505,mb0464_base05_redundant_paths_seed1_rw1979299,low_normal_fan,high_normal_fan,82.0,82.0,0.0,0.5037242432650099,4.050410683091034,3.546686439826024,59.25,64.5,0.09620120882188568,0.11517484947108322,93.55999999999999,90.67999999999999,-2.8799999999999955,97.6,99.0,1.4000000000000057,3.4044676529525146,10.36810493774055,6.963637284788036,1.9138138523837167,1.9138138523837167,0.0,3.546686439826024,59.25,64.5,5.25,9.102647298864987,9.102647298864982,-5.329070518200751e-15,9.102647298864987,9.102647298864984,-3.552713678800501e-15,1.0,1.0,0.0,-4.019435316589282,-1.9505002123909143,2.068935104198368
base05_redundant_paths_seed1_armA_02,arm_A_fixed_tree_count_variable_normal_fan,base05_redundant_paths_seed1,mb0455_base05_redundant_paths_seed1_rw6331647,mb0429_base05_redundant_paths_seed1_rw2766586,low_normal_fan,high_normal_fan,90.0,90.0,0.0,3.339175495818843,6.879477559985576,3.540302064166733,66.5,68.125,0.1076469176235285,0.13549861921158374,96.12,96.35999999999999,0.23999999999998067,97.6,98.6,1.0,0.8726969691708563,1.3937001112147465,0.5210031420438902,1.954242509439325,1.954242509439325,0.0,3.540302064166733,66.5,68.125,1.625,9.210981847615384,9.210981847615384,0.0,9.210981847615383,9.210981847615383,0.0,1.0,1.0,0.0,-2.6206279073351957,-4.671165227044293,-2.0505373197090973
base05_redundant_paths_seed1_armA_03,arm_A_fixed_tree_count_variable_normal_fan,base05_redundant_paths_seed1,mb0471_base05_redundant_paths_seed1_rw2745363,mb0444_base05_redundant_paths_seed1_rw3112337,low_normal_fan,high_normal_fan,78.0,80.0,2.0,-0.24901112660166302,3.274699160944683,3.523710287546346,58.0,62.125,0.09054008125278012,0.11672093087206731,91.36000000000001,95.03999999999999,3.6799999999999784,96.2,97.8,1.5999999999999943,6.497260961359028,2.5342454498331435,-3.9630155115258843,1.8920946026904804,1.9030899869919435,0.010995384301463185,3.523710287546346,58.0,62.125,4.125,8.966546296113718,9.069864793201104,0.10331849708738616,8.966546296113718,9.069864793201102,0.10331849708738439,1.0,1.0,0.0,-4.1659593264596,-3.584573110762554,0.5813862156970457
base05_redundant_paths_seed1_armB_01,arm_B_variable_tree_count_matched_normal_fan,base05_redundant_paths_seed1,mb0401_base05_redundant_paths_seed1_rw2474930,mb0455_base05_redundant_paths_seed1_rw6331647,low_tree_count,high_tree_count,77.0,90.0,13.0,3.2315556522193387,3.339175495818843,0.10761984359950416,61.25,66.5,0.11884966093720253,0.1076469176235285,94.32000000000001,96.12,1.7999999999999972,96.4,97.6,1.1999999999999886,2.691022110648667,0.8726969691708563,-1.8183251414778105,1.8864907251724818,1.954242509439325,0.06775178426684314,0.10761984359950416,61.25,66.5,5.25,8.963236268649782,9.210981847615384,0.24774557896560268,8.963236268649784,9.210981847615383,0.24774557896559912,1.0,1.0,0.0,-2.9151004279420163,-2.6206279073351957,0.2944725206068206
base05_redundant_paths_seed1_armB_02,arm_B_variable_tree_count_matched_normal_fan,base05_redundant_paths_seed1,mb0408_base05_redundant_paths_seed1_rw3958626,mb0422_base05_redundant_paths_seed1_rw5618073,low_tree_count,high_tree_count,70.0,82.0,12.0,1.7864624290304016,1.7597991728217748,-0.026663256208626862,56.25,60.375,0.12031685176148091,0.10394742203730994,87.2,93.56,6.359999999999999,96.0,95.6,-0.4000000000000057,9.784068683323927,1.2986146464598338,-8.485454036864093,1.845098040014257,1.9138138523837167,0.06871581236945978,-0.026663256208626862,56.25,60.375,4.125,8.7649532588598,9.102647298864987,0.33769404000518755,8.7649532588598,9.102647298864987,0.33769404000518755,1.0,1.0,0.0,-6.490105043145692,-4.869156737405048,1.6209483057406437
base06_two_module_seed2_armA_01,arm_A_fixed_tree_count_variable_normal_fan,base06_two_module_seed2,mb0535_base06_two_module_seed2_rw5026718,mb0485_base06_two_module_seed2_rw4327906,low_normal_fan,high_normal_fan,50.0,52.0,2.0,-6.691729451683461,-2.195881854685239,4.495847596998222,41.625,46.375,0.07926131378284473,0.10776236516114038,82.8,85.52000000000001,2.720000000000013,94.2,94.8,0.5999999999999943,9.685453009539613,7.564760405987749,-2.1206926035518636,1.6989700043360187,1.7160033436347992,0.01703333929878048,4.495847596998222,41.625,46.375,4.75,8.449182540926865,8.486620686022304,0.03743814509543952,8.449182540926865,8.486620686022304,0.03743814509543952,1.0,1.0,0.0,-3.38162238235444,-2.151891051148526,1.229731331205914
base06_two_module_seed2_armB_01,arm_B_variable_tree_count_matched_normal_fan,base06_two_module_seed2,mb0557_base06_two_module_seed2_rw802857,mb0546_base06_two_module_seed2_rw3200844,low_tree_count,high_tree_count,50.0,63.0,13.0,-3.309230843088888,-3.3177870130551677,-0.008556169966279725,44.0,49.0,0.10563192838994187,0.0937350618653407,91.43999999999998,89.0,-2.4399999999999835,98.2,95.2,-3.0,4.861933771659175,5.200000000000004,0.33806622834082845,1.6989700043360187,1.7993405494535817,0.10037054511756294,-0.008556169966279725,44.0,49.0,5.0,8.449182540926861,8.940516450732273,0.49133390980541236,8.449182540926861,8.940516450732272,0.4913339098054106,1.0,1.0,0.0,-1.745450653071351,-1.882568991162983,-0.1371183380916321
base06_two_module_seed2_armB_03,arm_B_variable_tree_count_matched_normal_fan,base06_two_module_seed2,mb0523_base06_two_module_seed2_rw5835889,mb0558_base06_two_module_seed2_rw4778881,low_tree_count,high_tree_count,57.0,69.0,12.0,-1.7486853295547715,-1.686404016911261,0.062281312643510445,48.125,54.375,0.1077150585143148,0.08951644430436553,81.24000000000001,94.83999999999999,13.59999999999998,97.4,97.6,0.19999999999998863,10.567421634438556,1.8863721796082535,-8.681049454830303,1.7558748556724915,1.8388490907372552,0.08297423506476376,0.062281312643510445,48.125,54.375,6.25,8.56860294451822,8.998122421406586,0.4295194768883661,8.56860294451822,8.998122421406586,0.4295194768883661,1.0,1.0,0.0,-2.111063833187075,-4.438668318539923,-2.327604485352848
