pair_id,arm,base_id,low_role_topology_id,high_role_topology_id,low_role,high_role,tree_count_low,tree_count_high,tree_count_delta,normal_fan_score_low,normal_fan_score_high,normal_fan_score_delta,active_tree_low,active_tree_high,branch_tree_nmi_low,branch_tree_nmi_high
base00_degree_balanced_seed9_armA_01,arm_A_fixed_tree_count_variable_normal_fan,base00_degree_balanced_seed9,mb0054_base00_degree_balanced_seed9_rw1374497,mb0044_base00_degree_balanced_seed9_rw6871406,low_normal_fan,high_normal_fan,80.0,80.0,0.0,-0.3967788107611052,4.685491951404499,5.082270762165605,57.5,63.875,0.09186021874414435,0.12206058721190732
base00_degree_balanced_seed9_armB_01,arm_B_variable_tree_count_matched_normal_fan,base00_degree_balanced_seed9,mb0024_base00_degree_balanced_seed9_rw1302872,mb0070_base00_degree_balanced_seed9_rw7728494,low_tree_count,high_tree_count,65.0,80.0,15.0,0.741350561401476,0.6888846348117833,-0.052465926589692735,53.75,60.25,0.11312107399256238,0.09614694749828166
base00_degree_balanced_seed9_armB_02,arm_B_variable_tree_count_matched_normal_fan,base00_degree_balanced_seed9,mb0057_base00_degree_balanced_seed9_rw9741299,mb0054_base00_degree_balanced_seed9_rw1374497,low_tree_count,high_tree_count,65.0,80.0,15.0,-0.5024625441079995,-0.3967788107611052,0.10568373334689429,52.625,57.5,0.10808504145783067,0.09186021874414435
base01_degree_balanced_seed60_armA_01,arm_A_fixed_tree_count_variable_normal_fan,base01_degree_balanced_seed60,mb0122_base01_degree_balanced_seed60_rw5473513,mb0087_base01_degree_balanced_seed60_rw55816,low_normal_fan,high_normal_fan,82.0,84.0,2.0,-0.2734139993770973,5.033892978139332,5.307306977516429,57.5,64.875,0.09654138469548026,0.1215193484166478
base01_degree_balanced_seed60_armA_03,arm_A_fixed_tree_count_variable_normal_fan,base01_degree_balanced_seed60,mb0081_base01_degree_balanced_seed60_rw3246462,mb0100_base01_degree_balanced_seed60_rw5708776,low_normal_fan,high_normal_fan,70.0,72.0,2.0,-1.0660609236214766,3.145477344155742,4.211538267777219,53.875,59.5,0.1025971343438212,0.1214838228116477
base01_degree_balanced_seed60_armB_01,arm_B_variable_tree_count_matched_normal_fan,base01_degree_balanced_seed60,mb0080_base01_degree_balanced_seed60_rw6405499,mb0122_base01_degree_balanced_seed60_rw5473513,low_tree_count,high_tree_count,64.0,82.0,18.0,-0.3171635442594834,-0.2734139993770973,0.04374954488238608,52.875,57.5,0.10744855330234646,0.09654138469548026
base01_degree_balanced_seed60_armB_02,arm_B_variable_tree_count_matched_normal_fan,base01_degree_balanced_seed60,mb0143_base01_degree_balanced_seed60_rw4718007,mb0127_base01_degree_balanced_seed60_rw7026294,low_tree_count,high_tree_count,72.0,90.0,18.0,2.490992627926562,2.3673222068015893,-0.12367042112497284,59.0,61.875,0.11013610124268941,0.10990989246026507
base02_random_sc_seed2_armA_01,arm_A_fixed_tree_count_variable_normal_fan,base02_random_sc_seed2,mb0164_base02_random_sc_seed2_rw2626549,mb0219_base02_random_sc_seed2_rw2997037,low_normal_fan,high_normal_fan,66.0,66.0,0.0,-4.64696533079197,1.090372498897572,5.737337829689542,47.5,53.875,0.08260409019244937,0.11835119053939402
base03_random_sc_seed92_armA_01,arm_A_fixed_tree_count_variable_normal_fan,base03_random_sc_seed92,mb0285_base03_random_sc_seed92_rw6124706,mb0317_base03_random_sc_seed92_rw5450770,low_normal_fan,high_normal_fan,63.0,65.0,2.0,-3.7512877695939393,0.5355398958514027,4.286827665445342,49.25,53.625,0.09047719833443832,0.11535028980113465
base03_random_sc_seed92_armB_01,arm_B_variable_tree_count_matched_normal_fan,base03_random_sc_seed92,mb0243_base03_random_sc_seed92_rw8028881,mb0250_base03_random_sc_seed92_rw5413294,low_tree_count,high_tree_count,60.0,76.0,16.0,-0.6502190404152624,-0.6382110655748857,0.012007974840376634,50.5,57.125,0.11296243066494888,0.08859179502721516
base04_cycle_chords_seed41_armA_01,arm_A_fixed_tree_count_variable_normal_fan,base04_cycle_chords_seed41,mb0347_base04_cycle_chords_seed41_rw3434009,mb0381_base04_cycle_chords_seed41_rw1669227,low_normal_fan,high_normal_fan,78.0,78.0,0.0,0.3532119162870548,4.61324931941978,4.260037403132725,59.625,63.125,0.09790659703773483,0.12180466460119255
base04_cycle_chords_seed41_armA_03,arm_A_fixed_tree_count_variable_normal_fan,base04_cycle_chords_seed41,mb0331_base04_cycle_chords_seed41_rw5585230,mb0354_base04_cycle_chords_seed41_rw7178112,low_normal_fan,high_normal_fan,72.0,72.0,0.0,-1.4684483833378281,2.4178254002987964,3.8862737836366246,55.625,59.625,0.09298428537759171,0.11316264892742439
base05_redundant_paths_seed1_armA_01,arm_A_fixed_tree_count_variable_normal_fan,base05_redundant_paths_seed1,mb0475_base05_redundant_paths_seed1_rw4566505,mb0464_base05_redundant_paths_seed1_rw1979299,low_normal_fan,high_normal_fan,82.0,82.0,0.0,0.5037242432650099,4.050410683091034,3.546686439826024,59.25,64.5,0.09620120882188568,0.11517484947108322
base05_redundant_paths_seed1_armA_02,arm_A_fixed_tree_count_variable_normal_fan,base05_redundant_paths_seed1,mb0455_base05_redundant_paths_seed1_rw6331647,mb0429_base05_redundant_paths_seed1_rw2766586,low_normal_fan,high_normal_fan,90.0,90.0,0.0,3.339175495818843,6.879477559985576,3.540302064166733,66.5,68.125,0.1076469176235285,0.13549861921158374
base05_redundant_paths_seed1_armA_03,arm_A_fixed_tree_count_variable_normal_fan,base05_redundant_paths_seed1,mb0471_base05_redundant_paths_seed1_rw2745363,mb0444_base05_redundant_paths_seed1_rw3112337,low_normal_fan,high_normal_fan,78.0,80.0,2.0,-0.24901112660166302,3.274699160944683,3.523710287546346,58.0,62.125,0.09054008125278012,0.11672093087206731
base05_redundant_paths_seed1_armB_01,arm_B_variable_tree_count_matched_normal_fan,base05_redundant_paths_seed1,mb0401_base05_redundant_paths_seed1_rw2474930,mb0455_base05_redundant_paths_seed1_rw6331647,low_tree_count,high_tree_count,77.0,90.0,13.0,3.2315556522193387,3.339175495818843,0.10761984359950416,61.25,66.5,0.11884966093720253,0.1076469176235285
base05_redundant_paths_seed1_armB_02,arm_B_variable_tree_count_matched_normal_fan,base05_redundant_paths_seed1,mb0408_base05_redundant_paths_seed1_rw3958626,mb0422_base05_redundant_paths_seed1_rw5618073,low_tree_count,high_tree_count,70.0,82.0,12.0,1.7864624290304016,1.7597991728217748,-0.026663256208626862,56.25,60.375,0.12031685176148091,0.10394742203730994
base06_two_module_seed2_armA_01,arm_A_fixed_tree_count_variable_normal_fan,base06_two_module_seed2,mb0535_base06_two_module_seed2_rw5026718,mb0485_base06_two_module_seed2_rw4327906,low_normal_fan,high_normal_fan,50.0,52.0,2.0,-6.691729451683461,-2.195881854685239,4.495847596998222,41.625,46.375,0.07926131378284473,0.10776236516114038
base06_two_module_seed2_armB_01,arm_B_variable_tree_count_matched_normal_fan,base06_two_module_seed2,mb0557_base06_two_module_seed2_rw802857,mb0546_base06_two_module_seed2_rw3200844,low_tree_count,high_tree_count,50.0,63.0,13.0,-3.309230843088888,-3.3177870130551677,-0.008556169966279725,44.0,49.0,0.10563192838994187,0.0937350618653407
base06_two_module_seed2_armB_03,arm_B_variable_tree_count_matched_normal_fan,base06_two_module_seed2,mb0523_base06_two_module_seed2_rw5835889,mb0558_base06_two_module_seed2_rw4778881,low_tree_count,high_tree_count,57.0,69.0,12.0,-1.7486853295547715,-1.686404016911261,0.062281312643510445,48.125,54.375,0.1077150585143148,0.08951644430436553
