idx,selected,selection_arms,topology_id,topology_name,base_id,base_family,base_seed,rewire_seed,n_nodes,n_edges,p,edge_json,cluster_edge_json,d_rel,rank_D,effective_rank_D,condition_number_D,condition_number_D_log,root_tree_count_gini,edge_participation_gini,bottleneck_edge_fraction_095,mean_shortest_path,in_degree_sequence,out_degree_sequence,in_degree_cv,out_degree_cv,n_trees_total_enum,n_trees_total_enum_log,normal_fan_branch_root_nmi_mean,normal_fan_branch_tree_nmi_mean,normal_fan_active_tree_count_mean,normal_fan_branch_active_tree_count_min_mean,normal_fan_score,normal_fan_score_within_base_z,tree_count_within_base_z,cross_contrast_effective_rank_mean,cross_all_supported_effective_rank
24,1,arm_B_low_tree_count,mb0024_base00_degree_balanced_seed9_rw1302872,multibase_base00_degree_balanced_seed9_rewire_seed1302872,base00_degree_balanced_seed9,degree_balanced,9,1302872,5,12,8,topologies/mb0024_base00_degree_balanced_seed9_rw1302872.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0024_base00_degree_balanced_seed9_rw1302872.json,88,11,8.643103571484446,3.774924366540239,0.5769082546345372,0.0,0.16153846153846163,0.0,1.4,3 2 2 3 2,3 2 2 3 2,0.2041241452319315,0.2041241452319315,65,1.8129133566428555,0.016068552837091455,0.11312107399256238,53.75,37.375,0.741350561401476,-0.0775803357616626,-0.8893947957397399,8.763063669735347,8.763063669735347
44,1,arm_A_high_normal_fan,mb0044_base00_degree_balanced_seed9_rw6871406,multibase_base00_degree_balanced_seed9_rewire_seed6871406,base00_degree_balanced_seed9,degree_balanced,9,6871406,5,12,8,topologies/mb0044_base00_degree_balanced_seed9_rw6871406.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0044_base00_degree_balanced_seed9_rw6871406.json,88,11,8.902336600579169,2.926681858905407,0.46637551559019685,0.0,0.13750000000000018,0.0,1.4,3 2 2 3 2,3 2 2 3 2,0.2041241452319315,0.2041241452319315,80,1.9030899869919435,0.017207030603150493,0.12206058721190732,63.875,42.125,4.685491951404499,1.5901992220246266,0.6119164889003583,9.079538102084719,9.079538102084719
54,1,arm_A_low_normal_fan;arm_B_high_tree_count,mb0054_base00_degree_balanced_seed9_rw1374497,multibase_base00_degree_balanced_seed9_rewire_seed1374497,base00_degree_balanced_seed9,degree_balanced,9,1374497,5,12,8,topologies/mb0054_base00_degree_balanced_seed9_rw1374497.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0054_base00_degree_balanced_seed9_rw1374497.json,88,11,8.902336600579169,2.9266818589054067,0.4663755155901968,0.0,0.13750000000000018,0.0,1.4,3 2 2 3 2,3 2 2 3 2,0.2041241452319315,0.2041241452319315,80,1.9030899869919435,0.012334280158827125,0.09186021874414435,57.5,39.625,-0.3967788107611052,-0.5588381592818894,0.6119164889003583,9.079538102084724,9.079538102084724
57,1,arm_B_low_tree_count,mb0057_base00_degree_balanced_seed9_rw9741299,multibase_base00_degree_balanced_seed9_rewire_seed9741299,base00_degree_balanced_seed9,degree_balanced,9,9741299,5,12,8,topologies/mb0057_base00_degree_balanced_seed9_rw9741299.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0057_base00_degree_balanced_seed9_rw9741299.json,88,11,8.643103571484446,3.77492436654024,0.5769082546345373,0.0,0.16153846153846163,0.0,1.4,3 2 2 3 2,3 2 2 3 2,0.2041241452319315,0.2041241452319315,65,1.8129133566428555,0.026858528803901598,0.10808504145783067,52.625,35.625,-0.5024625441079995,-0.6035265090741245,-0.8893947957397399,8.763063669735343,8.763063669735343
70,1,arm_B_high_tree_count,mb0070_base00_degree_balanced_seed9_rw7728494,multibase_base00_degree_balanced_seed9_rewire_seed7728494,base00_degree_balanced_seed9,degree_balanced,9,7728494,5,12,8,topologies/mb0070_base00_degree_balanced_seed9_rw7728494.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0070_base00_degree_balanced_seed9_rw7728494.json,88,11,8.902336600579165,2.9266818589054067,0.4663755155901968,0.0,0.13750000000000018,0.0,1.4,3 2 2 3 2,3 2 2 3 2,0.2041241452319315,0.2041241452319315,80,1.9030899869919435,0.01690883694786246,0.09614694749828166,60.25,40.25,0.6888846348117833,-0.09976554445331617,0.6119164889003583,9.079538102084724,9.079538102084724
80,1,arm_B_low_tree_count,mb0080_base01_degree_balanced_seed60_rw6405499,multibase_base01_degree_balanced_seed60_rewire_seed6405499,base01_degree_balanced_seed60,degree_balanced,60,6405499,5,12,8,topologies/mb0080_base01_degree_balanced_seed60_rw6405499.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0080_base01_degree_balanced_seed60_rw6405499.json,88,11,8.37018811205242,4.226698292783317,0.6260012484309156,0.20625000000000004,0.10091145833333348,0.0,1.4,3 3 2 2 2,2 2 3 3 2,0.2041241452319315,0.2041241452319315,64,1.806179973983887,0.021552697445722458,0.10744855330234646,52.875,36.375,-0.3171635442594834,-0.9926337387159299,-1.7485707912682338,8.465190945476435,8.465190945476435
81,1,arm_A_low_normal_fan,mb0081_base01_degree_balanced_seed60_rw3246462,multibase_base01_degree_balanced_seed60_rewire_seed3246462,base01_degree_balanced_seed60,degree_balanced,60,3246462,5,12,8,topologies/mb0081_base01_degree_balanced_seed60_rw3246462.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0081_base01_degree_balanced_seed60_rw3246462.json,88,11,8.638494612577873,3.713980153464154,0.5698395786541568,0.17142857142857149,0.11130952380952408,0.0,1.4,3 3 2 2 2,2 2 3 3 2,0.2041241452319315,0.2041241452319315,70,1.845098040014257,0.016852592728729174,0.1025971343438212,53.875,35.125,-1.0660609236214766,-1.357741507099347,-0.9192481211282328,8.7649532588598,8.7649532588598
87,1,arm_A_high_normal_fan,mb0087_base01_degree_balanced_seed60_rw55816,multibase_base01_degree_balanced_seed60_rewire_seed55816,base01_degree_balanced_seed60,degree_balanced,60,55816,5,12,8,topologies/mb0087_base01_degree_balanced_seed60_rw55816.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0087_base01_degree_balanced_seed60_rw55816.json,88,11,8.881779689077776,3.5951021750373733,0.5557112378132949,0.1523809523809525,0.12053571428571441,0.0,1.4,3 3 2 2 2,2 2 3 3 2,0.2041241452319315,0.2041241452319315,84,1.9242792860618816,0.01763424239234297,0.1215193484166478,64.875,43.0,5.033892978139332,1.6161513354833978,0.7680608614400471,9.068374276555069,9.068374276555069
100,1,arm_A_high_normal_fan,mb0100_base01_degree_balanced_seed60_rw5708776,multibase_base01_degree_balanced_seed60_rewire_seed5708776,base01_degree_balanced_seed60,degree_balanced,60,5708776,5,12,8,topologies/mb0100_base01_degree_balanced_seed60_rw5708776.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0100_base01_degree_balanced_seed60_rw5708776.json,88,11,8.726496322445016,3.7046956692780286,0.5687525376644034,0.17222222222222228,0.11689814814814836,0.0,1.4,3 3 2 2 2,2 2 3 3 2,0.2041241452319315,0.2041241452319315,72,1.8573324964312685,0.0160670063095869,0.1214838228116477,59.5,39.375,3.145477344155742,0.6954975357712299,-0.658538556178376,8.854682394291865,8.854682394291865
122,1,arm_A_low_normal_fan;arm_B_high_tree_count,mb0122_base01_degree_balanced_seed60_rw5473513,multibase_base01_degree_balanced_seed60_rewire_seed5473513,base01_degree_balanced_seed60,degree_balanced,60,5473513,5,12,8,topologies/mb0122_base01_degree_balanced_seed60_rw5473513.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0122_base01_degree_balanced_seed60_rw5473513.json,88,11,8.930546718084331,3.528172138989255,0.5475497661393126,0.14634146341463428,0.128048780487805,0.0,1.4,3 3 2 2 2,2 2 3 3 2,0.2041241452319315,0.2041241452319315,82,1.9138138523837167,0.012905405553780211,0.09654138469548026,57.5,38.25,-0.2734139993770973,-0.9713046499248777,0.545048202091149,9.102647298864992,9.10264729886499
127,1,arm_B_high_tree_count,mb0127_base01_degree_balanced_seed60_rw7026294,multibase_base01_degree_balanced_seed60_rewire_seed7026294,base01_degree_balanced_seed60,degree_balanced,60,7026294,5,12,8,topologies/mb0127_base01_degree_balanced_seed60_rw7026294.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0127_base01_degree_balanced_seed60_rw7026294.json,88,11,9.021500920659584,3.425424050172152,0.5347143426168073,0.1955555555555557,0.1087962962962965,0.0,1.4,3 3 2 2 2,2 2 3 3 2,0.2041241452319315,0.2041241452319315,90,1.954242509439325,0.020152734591462523,0.10990989246026507,61.875,39.875,2.3673222068015893,0.3161258174491443,1.406560739568408,9.204977095061963,9.204977095061963
143,1,arm_B_low_tree_count,mb0143_base01_degree_balanced_seed60_rw4718007,multibase_base01_degree_balanced_seed60_rewire_seed4718007,base01_degree_balanced_seed60,degree_balanced,60,4718007,5,12,8,topologies/mb0143_base01_degree_balanced_seed60_rw4718007.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0143_base01_degree_balanced_seed60_rw4718007.json,88,11,8.726496322445016,3.704695669278028,0.5687525376644033,0.17222222222222228,0.11689814814814836,0.0,1.4,3 3 2 2 2,2 2 3 3 2,0.2041241452319315,0.2041241452319315,72,1.8573324964312685,0.021034224946240986,0.11013610124268941,59.0,41.75,2.490992627926562,0.37641849935229554,-0.658538556178376,8.854682394291869,8.854682394291869
164,1,arm_A_low_normal_fan,mb0164_base02_random_sc_seed2_rw2626549,multibase_base02_random_sc_seed2_rewire_seed2626549,base02_random_sc_seed2,random_sc,2,2626549,5,12,8,topologies/mb0164_base02_random_sc_seed2_rw2626549.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0164_base02_random_sc_seed2_rw2626549.json,88,11,8.37144417124772,5.8619296700588555,0.7680406035789469,0.4484848484848485,0.1875,0.0,1.55,1 1 4 3 3,4 2 1 2 3,0.5000000000000001,0.4249182927993988,66,1.8195439355418688,0.012478517275399998,0.08260409019244937,47.5,33.875,-4.64696533079197,-3.613085852631446,1.1934162828796764,8.358803663697673,8.358803663697673
219,1,arm_A_high_normal_fan,mb0219_base02_random_sc_seed2_rw2997037,multibase_base02_random_sc_seed2_rewire_seed2997037,base02_random_sc_seed2,random_sc,2,2997037,5,12,8,topologies/mb0219_base02_random_sc_seed2_rw2997037.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0219_base02_random_sc_seed2_rw2997037.json,88,11,8.371444171247724,5.861929670058849,0.7680406035789464,0.4484848484848485,0.1875,0.0,1.55,1 1 4 3 3,4 2 1 2 3,0.5000000000000001,0.4249182927993988,66,1.8195439355418688,0.028540185683700366,0.11835119053939402,53.875,36.5,1.090372498897572,2.3371064403755537,1.1934162828796764,8.358803663697676,8.358803663697676
243,1,arm_B_low_tree_count,mb0243_base03_random_sc_seed92_rw8028881,multibase_base03_random_sc_seed92_rewire_seed8028881,base03_random_sc_seed92,random_sc,92,8028881,5,12,8,topologies/mb0243_base03_random_sc_seed92_rw8028881.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0243_base03_random_sc_seed92_rw8028881.json,88,11,8.448309198375274,4.919916399352158,0.6919577231721344,0.40000000000000013,0.16944444444444406,0.0,1.5,3 2 3 2 2,1 2 3 3 3,0.2041241452319315,0.33333333333333337,60,1.7781512503836436,0.021104100233942023,0.11296243066494888,50.5,34.375,-0.6502190404152624,0.167454851071348,-0.871885382845656,8.422704235899515,8.422704235899513
250,1,arm_B_high_tree_count,mb0250_base03_random_sc_seed92_rw5413294,multibase_base03_random_sc_seed92_rewire_seed5413294,base03_random_sc_seed92,random_sc,92,5413294,5,12,8,topologies/mb0250_base03_random_sc_seed92_rw5413294.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0250_base03_random_sc_seed92_rw5413294.json,88,11,8.971047283620495,3.7114833653366297,0.5695475184091942,0.2789473684210526,0.16502192982456143,0.0,1.45,3 2 3 2 2,1 2 3 3 3,0.2041241452319315,0.33333333333333337,76,1.8808135922807914,0.017871257589661772,0.08859179502721516,57.125,40.25,-0.6382110655748857,0.1734330230191896,1.2874949775478248,9.11364343546026,9.113643435460258
285,1,arm_A_low_normal_fan,mb0285_base03_random_sc_seed92_rw6124706,multibase_base03_random_sc_seed92_rewire_seed6124706,base03_random_sc_seed92,random_sc,92,6124706,5,12,8,topologies/mb0285_base03_random_sc_seed92_rw6124706.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0285_base03_random_sc_seed92_rw6124706.json,88,11,8.58372853448984,4.051767469373058,0.6076445132761227,0.3111111111111111,0.17592592592592604,0.0,1.45,3 2 3 2 2,1 2 3 3 3,0.2041241452319315,0.33333333333333337,63,1.7993405494535817,0.020208053065567434,0.09047719833443832,49.25,33.0,-3.7512877695939393,-1.3764126479484409,-0.42619365775362095,8.612885166798343,8.612885166798343
317,1,arm_A_high_normal_fan,mb0317_base03_random_sc_seed92_rw5450770,multibase_base03_random_sc_seed92_rewire_seed5450770,base03_random_sc_seed92,random_sc,92,5450770,5,12,8,topologies/mb0317_base03_random_sc_seed92_rw5450770.json,/home/aadarwal/repos/topology/ICL/results/next_phase_stats/multibase_normal_fan_tree_count_n5_m12_N3_D2/topologies/mb0317_base03_random_sc_seed92_rw5450770.json,88,11,8.634931625584969,3.8437204280725084,0.584751791857877,0.29538461538461536,0.1839743589743592,0.0,1.45,3 2 3 2 2,1 2 3 3 3,0.2041241452319315,0.33333333333333337,65,1.8129133566428555,0.022315307702014155,0.11535028980113465,53.625,35.875,0.5355398958514027,0.757785102751785,-0.14070578811892742,8.69593343999965,8.69593343999965
