idx,selected,selection_category,selection_rank,load_stratum,contrast_level,topology_id,topology_name,physical_topology_name,mask_name,mask_family,seed,n_nodes,n_edges,p,edge_json,input_mask_json,input_coupled_parameter_count,input_coupled_edge_count,input_coupled_coord_count,input_parameter_density,input_edge_density,input_coord_density,input_edge_load_gini,input_coord_load_gini,coord_load_distribution,edge_load_distribution,d_rel,d_rel_minus_n_req,comparison_branch_d_rel_min,comparison_branch_d_rel_mean,comparison_branch_d_rel_max,comparison_branch_d_rel_gini,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,comparison_branch_common_d_rel_max,comparison_branch_common_d_rel_gini,comparison_branch_input_count_min,comparison_branch_input_count_mean,comparison_branch_input_count_max,comparison_branch_input_count_gini,comparison_branch_input_overlap_min,comparison_branch_input_overlap_mean,comparison_branch_input_overlap_max,comparison_branch_input_overlap_gini,rank_D,effective_rank_D,condition_number_D,condition_number_D_masked,condition_number_D_masked_log,root_tree_count_gini,edge_participation_gini,bottleneck_edge_fraction_095,mean_shortest_path,edge_M_mean,edge_M_gini,edge_overlap_norm_min,edge_overlap_norm_mean,tree_overlap_norm_min,tree_overlap_norm_mean,tree_overlap_norm_gini,diff_overlap_norm_min,diff_overlap_norm_mean,diff_overlap_norm_gini,diff_coord_load_gini,diff_pair_count_sampled,diff_pair_count_possible,diff_pairs_truncated,gamma_no_bias_exact_lcvar,gamma_no_bias_tropical_lcvar,gamma_no_bias_hard_root_lcvar
47,1,high_tree_diff_comparison_overlap_balanced_load,1,balanced_load,high,cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665,cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665,prospective_tree_diff_balanced_load,60665,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665.json,200,20,20,0.5,1.0,1.0,0.0,0.0,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,40,40.0,40,0.0,18,18.75,20,0.023333333333333428,40,40.0,40,0.0,18,18.75,20,0.023333333333333428,19,15.898610432389086,3.550238802485174,3.35208392527147,0.5253148834146872,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.0,0.15,0.234375,0.8846153846153846,0.9604138185247738,0.018710557645506665,0.9371069182389937,0.9637893872393103,0.0067043553212338125,0.018270875366837913,79096,79096,False,-6.615244354777255,-4.11650383159805,-1.6018884241154059
35,1,high_tree_diff_comparison_overlap_balanced_load,2,balanced_load,high,cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653,cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653,prospective_tree_diff_balanced_load,60653,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653.json,200,20,20,0.5,1.0,1.0,0.0,0.0,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,40,40.0,40,0.0,15,18.0,20,0.05555555555555558,40,40.0,40,0.0,15,18.0,20,0.05555555555555558,19,15.898610432389086,3.550238802485174,3.3548055728836945,0.5256673557805671,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.0,0.15,0.22500000000000003,0.8947368421052632,0.9628158554003464,0.013866818060711772,0.9359570661896244,0.9645742531691108,0.005697592809786656,0.014320623930056176,79096,79096,False,-3.7668768033992683,-1.82224377667801,-1.57862719846324
135,1,high_tree_diff_comparison_overlap_balanced_load,3,balanced_load,high,cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753,cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753,prospective_tree_diff_balanced_load,60753,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753.json,200,20,20,0.5,1.0,1.0,0.0,0.0,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,40,40.0,40,0.0,15,20.0,24,0.08749999999999991,40,40.0,40,0.0,15,20.0,24,0.08749999999999991,19,15.898610432389086,3.550238802485174,3.384915002606738,0.5295477677442556,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.0,0.15,0.25,0.8734939759036144,0.9611285039788031,0.01662706671479408,0.935258500232883,0.9628822914128049,0.007030833068455422,0.01529148324773777,79096,79096,False,-2.8217824058913163,-3.287895211448788,-1.518479273182684
8,1,high_tree_diff_comparison_overlap_balanced_load,4,balanced_load,high,cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626,cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626,prospective_tree_diff_balanced_load,60626,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626.json,200,20,20,0.5,1.0,1.0,0.0,0.0,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,40,40.0,40,0.0,18,19.5,21,0.03205128205128216,40,40.0,40,0.0,18,19.5,21,0.03205128205128216,19,15.898610432389086,3.550238802485174,3.8736343094623553,0.5881186187375249,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.0,0.15,0.24374999999999997,0.8674698795180723,0.9604367222178186,0.019288681869001012,0.9342095655348668,0.962071433579983,0.006621380115559683,0.01452899547566644,79096,79096,False,-4.690094333326641,-3.065582566218138,-1.6083960287965329
66,1,low_tree_diff_comparison_overlap_balanced_load,1,balanced_load,low,cycle_chords_n6_m20_seed3__prospective_balanced_load_0066_c200_seed60684,cycle_chords_n6_m20_seed3__prospective_balanced_load_0066_c200_seed60684,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0066_c200_seed60684,prospective_tree_diff_balanced_load,60684,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0066_c200_seed60684.json,200,20,20,0.5,1.0,1.0,0.0,0.0,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,40,40.0,40,0.0,16,20.0,24,0.07499999999999996,40,40.0,40,0.0,16,20.0,24,0.07499999999999996,19,15.898610432389086,3.550238802485174,3.967145899868776,0.5984781728317872,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.0,0.15,0.25,0.868421052631579,0.9715709597414625,0.015650737709049345,0.8497127775190187,0.9559268914764161,0.008915144689021437,0.01874109653949607,79096,79096,False,-3.0678015819389555,-2.995955056682468,-1.6558399751551516
24,1,low_tree_diff_comparison_overlap_balanced_load,2,balanced_load,low,cycle_chords_n6_m20_seed3__prospective_balanced_load_0024_c200_seed60642,cycle_chords_n6_m20_seed3__prospective_balanced_load_0024_c200_seed60642,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0024_c200_seed60642,prospective_tree_diff_balanced_load,60642,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0024_c200_seed60642.json,200,20,20,0.5,1.0,1.0,0.0,0.0,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,40,40.0,40,0.0,17,17.75,19,0.02464788732394374,40,40.0,40,0.0,17,17.75,19,0.02464788732394374,19,15.898610432389086,3.550238802485174,3.700180926499629,0.5682229601370897,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.0,0.15,0.221875,0.88125,0.9662330807287857,0.018202886948184283,0.8515758422605185,0.9548998516047301,0.013888177192127316,0.01069127919417956,79096,79096,False,-2.4507977281106204,-3.122175450416497,-1.5650592554706766
104,1,low_tree_diff_comparison_overlap_balanced_load,3,balanced_load,low,cycle_chords_n6_m20_seed3__prospective_balanced_load_0104_c200_seed60722,cycle_chords_n6_m20_seed3__prospective_balanced_load_0104_c200_seed60722,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0104_c200_seed60722,prospective_tree_diff_balanced_load,60722,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0104_c200_seed60722.json,200,20,20,0.5,1.0,1.0,0.0,0.0,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,40,40.0,40,0.0,17,18.5,20,0.04054054054054057,40,40.0,40,0.0,17,18.5,20,0.04054054054054057,19,15.898610432389086,3.550238802485174,3.730954637188485,0.5718199687035227,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.0,0.15,0.23125,0.85625,0.9717655545427322,0.01836317363620177,0.8647725508461419,0.9496987848141067,0.010053302286224364,0.018016305178527814,79096,79096,False,-1.8341738347858902,-2.1533583079865957,-1.478197642151695
114,1,low_tree_diff_comparison_overlap_balanced_load,4,balanced_load,low,cycle_chords_n6_m20_seed3__prospective_balanced_load_0114_c200_seed60732,cycle_chords_n6_m20_seed3__prospective_balanced_load_0114_c200_seed60732,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0114_c200_seed60732,prospective_tree_diff_balanced_load,60732,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0114_c200_seed60732.json,200,20,20,0.5,1.0,1.0,0.0,0.0,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,40,40.0,40,0.0,18,19.5,23,0.05128205128205132,40,40.0,40,0.0,18,19.5,23,0.05128205128205132,19,15.898610432389086,3.550238802485174,3.8746092544263457,0.5882279114350928,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.0,0.1,0.24375,0.8736842105263158,0.9601813313476578,0.017867141661536134,0.8674118925632666,0.9620471021533805,0.00908288982721639,0.016405600391293573,79096,79096,False,-3.9564004385610794,-2.6527635110889376,-1.6204663030030306
279,1,high_tree_diff_comparison_overlap_imbalanced_coord_load,1,imbalanced_coord_load,high,cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0279_c200_seed60737,cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0279_c200_seed60737,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0279_c200_seed60737,prospective_tree_diff_imbalanced_coord_load,60737,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,masks/cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0279_c200_seed60737.json,200,20,20,0.5,1.0,1.0,0.0,0.25,15 15 15 15 15 15 15 15 15 15 5 5 5 5 5 5 5 5 5 5,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,20,20.0,20,0.0,1,10.25,16,0.32317073170731714,20,20.0,20,0.0,1,10.25,16,0.32317073170731714,19,15.898610432389086,3.550238802485174,4.283454749106988,0.6317941833258254,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.25,0.0,0.12812500000000002,0.4,0.7176658125416647,0.1058872377398048,0.6655933214072749,0.8203464530821186,0.05051819089747922,0.2593439716312056,79096,79096,False,-3.0211266409677684,-1.8695090464080133,-1.7534869062974816
261,1,high_tree_diff_comparison_overlap_imbalanced_coord_load,2,imbalanced_coord_load,high,cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0261_c200_seed60719,cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0261_c200_seed60719,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0261_c200_seed60719,prospective_tree_diff_imbalanced_coord_load,60719,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,masks/cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0261_c200_seed60719.json,200,20,20,0.5,1.0,1.0,0.0,0.25,15 15 15 15 15 15 15 15 15 15 5 5 5 5 5 5 5 5 5 5,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,20,20.0,20,0.0,0,10.0,16,0.32499999999999996,20,20.0,20,0.0,0,10.0,16,0.32499999999999996,19,15.898610432389086,3.550238802485174,5.053365169113896,0.7035806826041309,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.25,0.0,0.125,0.41,0.7172086155858249,0.10503762565685038,0.6648777579010137,0.8297651886283307,0.05066667374088274,0.25538917293348007,79096,79096,False,-3.912914861400751,-2.6008035398029814,-1.672843715878099
193,1,high_tree_diff_comparison_overlap_imbalanced_coord_load,3,imbalanced_coord_load,high,cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0193_c200_seed60651,cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0193_c200_seed60651,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0193_c200_seed60651,prospective_tree_diff_imbalanced_coord_load,60651,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,masks/cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0193_c200_seed60651.json,200,20,20,0.5,1.0,1.0,0.0,0.25,15 15 15 15 15 15 15 15 15 15 5 5 5 5 5 5 5 5 5 5,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,20,20.0,20,0.0,5,8.75,13,0.20714285714285707,20,20.0,20,0.0,5,8.75,13,0.20714285714285707,19,15.898610432389086,3.550238802485174,4.543227223565183,0.6573644580280869,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.25,0.0,0.109375,0.48947368421052634,0.75488284383316,0.09169597184937706,0.6529390288426433,0.8356783089976,0.04692478198731509,0.25627844904010755,79096,79096,False,-5.185304251342435,-1.8102780398307499,-1.4019842063962207
220,1,high_tree_diff_comparison_overlap_imbalanced_coord_load,4,imbalanced_coord_load,high,cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0220_c200_seed60678,cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0220_c200_seed60678,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0220_c200_seed60678,prospective_tree_diff_imbalanced_coord_load,60678,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,masks/cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0220_c200_seed60678.json,200,20,20,0.5,1.0,1.0,0.0,0.25,15 15 15 15 15 15 15 15 15 15 5 5 5 5 5 5 5 5 5 5,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,20,20.0,20,0.0,6,10.75,14,0.14534883720930236,20,20.0,20,0.0,6,10.75,14,0.14534883720930236,19,15.898610432389086,3.550238802485174,5.428055907953582,0.7346443121621086,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.25,0.0,0.134375,0.45614035087719296,0.7544957762053612,0.09558489029858563,0.6485849056603774,0.83359887407203,0.04640245606035154,0.2543369978906822,79096,79096,False,-3.6910088039503157,-1.545878913142485,-1.642703606486241
206,1,low_tree_diff_comparison_overlap_imbalanced_coord_load,1,imbalanced_coord_load,low,cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0206_c200_seed60664,cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0206_c200_seed60664,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0206_c200_seed60664,prospective_tree_diff_imbalanced_coord_load,60664,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,masks/cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0206_c200_seed60664.json,200,20,20,0.5,1.0,1.0,0.0,0.25,15 15 15 15 15 15 15 15 15 15 5 5 5 5 5 5 5 5 5 5,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,20,20.0,20,0.0,5,10.75,15,0.21511627906976738,20,20.0,20,0.0,5,10.75,15,0.21511627906976738,19,15.898610432389086,3.550238802485174,4.14429823703538,0.6174510010900284,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.25,0.0,0.134375,0.1746987951807229,0.7704794807604237,0.13184978846576123,0.30346841913106976,0.7861485344316157,0.07959176305596305,0.2567909138848128,79096,79096,False,-3.994580929837241,-3.2063536974328004,-1.5550060150426928
207,1,low_tree_diff_comparison_overlap_imbalanced_coord_load,2,imbalanced_coord_load,low,cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0207_c200_seed60665,cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0207_c200_seed60665,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0207_c200_seed60665,prospective_tree_diff_imbalanced_coord_load,60665,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,masks/cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0207_c200_seed60665.json,200,20,20,0.5,1.0,1.0,0.0,0.25,15 15 15 15 15 15 15 15 15 15 5 5 5 5 5 5 5 5 5 5,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,20,20.0,20,0.0,6,10.25,13,0.1402439024390243,20,20.0,20,0.0,6,10.25,13,0.1402439024390243,19,15.898610432389086,3.550238802485174,4.3932134787348005,0.642782307381848,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.25,0.0,0.12812500000000002,0.1144578313253012,0.7078704815889739,0.12217131643049428,0.30690032858707555,0.8073835714382517,0.06597573904615661,0.26101690511127407,79096,79096,False,-2.9837627310397834,-2.0589527175744324,-1.5946459153330377
252,1,low_tree_diff_comparison_overlap_imbalanced_coord_load,3,imbalanced_coord_load,low,cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0252_c200_seed60710,cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0252_c200_seed60710,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0252_c200_seed60710,prospective_tree_diff_imbalanced_coord_load,60710,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,masks/cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0252_c200_seed60710.json,200,20,20,0.5,1.0,1.0,0.0,0.25,15 15 15 15 15 15 15 15 15 15 5 5 5 5 5 5 5 5 5 5,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,20,20.0,20,0.0,2,10.0,15,0.25,20,20.0,20,0.0,2,10.0,15,0.25,19,15.898610432389086,3.550238802485174,4.509367180193841,0.6541155996533423,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.25,0.0,0.125,0.24375,0.7488163691371422,0.1537773378207592,0.3113207547169811,0.7875629667125774,0.07590884745135984,0.2562769396551723,79096,79096,False,-1.113404335770446,-1.2387591502854869,-1.4525059026635148
218,1,low_tree_diff_comparison_overlap_imbalanced_coord_load,4,imbalanced_coord_load,low,cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0218_c200_seed60676,cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0218_c200_seed60676,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0218_c200_seed60676,prospective_tree_diff_imbalanced_coord_load,60676,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,masks/cycle_chords_n6_m20_seed3__prospective_imbalanced_coord_load_0218_c200_seed60676.json,200,20,20,0.5,1.0,1.0,0.0,0.25,15 15 15 15 15 15 15 15 15 15 5 5 5 5 5 5 5 5 5 5,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,20,20.0,20,0.0,4,11.25,16,0.22777777777777786,20,20.0,20,0.0,4,11.25,16,0.22777777777777786,19,15.898610432389086,3.550238802485174,5.041767355917125,0.7025828019964216,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.25,0.0,0.140625,0.1927710843373494,0.7426269238560179,0.11175367344671083,0.3131069733479372,0.8194073167302417,0.059300675435129735,0.2607366180606505,79096,79096,False,-4.905826196167094,-3.6837734712637213,-1.6077581765563305
